[exp00_head4_emb128_bs8_it1000_do0.1] iter 0/1000 | train_now 4.1911 | train_eval 4.1830 | val 4.1794 | gap 0.0035 | lr 5.94e-06 | params 1.21M | host_mem 16.5% | gpu_mem 31.7MB | 1283.3 ms/it
[exp00_head4_emb128_bs8_it1000_do0.1] iter 10/1000 | train_now 3.8013 | train_eval 3.7765 | val 3.7849 | gap -0.0084 | lr 6.53e-05 | params 1.21M | host_mem 16.4% | gpu_mem 31.7MB | 521.2 ms/it
[exp00_head4_emb128_bs8_it1000_do0.1] iter 20/1000 | train_now 3.6570 | train_eval 3.6224 | val 3.6240 | gap -0.0016 | lr 1.25e-04 | params 1.21M | host_mem 16.4% | gpu_mem 31.7MB | 418.5 ms/it
[exp00_head4_emb128_bs8_it1000_do0.1] iter 30/1000 | train_now 3.4199 | train_eval 3.3848 | val 3.3993 | gap -0.0145 | lr 1.84e-04 | params 1.21M | host_mem 16.4% | gpu_mem 31.7MB | 1014.8 ms/it
[exp00_head4_emb128_bs8_it1000_do0.1] iter 40/1000 | train_now 3.2136 | train_eval 3.2053 | val 3.2270 | gap -0.0217 | lr 2.44e-04 | params 1.21M | host_mem 16.3% | gpu_mem 31.7MB | 1160.5 ms/it
[exp00_head4_emb128_bs8_it1000_do0.1] iter 50/1000 | train_now 3.0706 | train_eval 3.0468 | val 3.0759 | gap -0.0292 | lr 3.03e-04 | params 1.21M | host_mem 16.2% | gpu_mem 31.7MB | 1035.6 ms/it
[exp00_head4_emb128_bs8_it1000_do0.1] iter 60/1000 | train_now 2.9181 | train_eval 2.9236 | val 2.9503 | gap -0.0267 | lr 3.62e-04 | params 1.21M | host_mem 16.2% | gpu_mem 31.7MB | 461.4 ms/it
[exp00_head4_emb128_bs8_it1000_do0.1] iter 70/1000 | train_now 2.9239 | train_eval 2.8265 | val 2.8518 | gap -0.0253 | lr 4.22e-04 | params 1.21M | host_mem 16.1% | gpu_mem 31.7MB | 442.3 ms/it
[exp00_head4_emb128_bs8_it1000_do0.1] iter 80/1000 | train_now 2.8075 | train_eval 2.7870 | val 2.7888 | gap -0.0019 | lr 4.81e-04 | params 1.21M | host_mem 16.1% | gpu_mem 31.7MB | 414.3 ms/it
[exp00_head4_emb128_bs8_it1000_do0.1] iter 90/1000 | train_now 2.6353 | train_eval 2.7143 | val 2.7356 | gap -0.0213 | lr 5.41e-04 | params 1.21M | host_mem 16.1% | gpu_mem 31.7MB | 428.8 ms/it
[exp00_head4_emb128_bs8_it1000_do0.1] iter 100/1000 | train_now 2.6873 | train_eval 2.6717 | val 2.6939 | gap -0.0222 | lr 6.00e-04 | params 1.21M | host_mem 16.0% | gpu_mem 31.7MB | 421.2 ms/it
[exp00_head4_emb128_bs8_it1000_do0.1] iter 110/1000 | train_now 2.6346 | train_eval 2.6540 | val 2.6492 | gap 0.0048 | lr 6.00e-04 | params 1.21M | host_mem 16.0% | gpu_mem 31.7MB | 419.2 ms/it
[exp00_head4_emb128_bs8_it1000_do0.1] iter 120/1000 | train_now 2.6370 | train_eval 2.6129 | val 2.6128 | gap 0.0001 | lr 5.99e-04 | params 1.21M | host_mem 16.0% | gpu_mem 31.7MB | 432.5 ms/it
[exp00_head4_emb128_bs8_it1000_do0.1] iter 130/1000 | train_now 2.5884 | train_eval 2.6209 | val 2.6169 | gap 0.0040 | lr 5.98e-04 | params 1.21M | host_mem 16.0% | gpu_mem 31.7MB | 429.3 ms/it
[exp00_head4_emb128_bs8_it1000_do0.1] iter 140/1000 | train_now 2.6010 | train_eval 2.5914 | val 2.5842 | gap 0.0071 | lr 5.97e-04 | params 1.21M | host_mem 16.0% | gpu_mem 31.7MB | 440.0 ms/it
[exp00_head4_emb128_bs8_it1000_do0.1] iter 150/1000 | train_now 2.6191 | train_eval 2.5747 | val 2.5969 | gap -0.0221 | lr 5.95e-04 | params 1.21M | host_mem 16.0% | gpu_mem 31.7MB | 421.4 ms/it
[exp00_head4_emb128_bs8_it1000_do0.1] iter 160/1000 | train_now 2.5684 | train_eval 2.5797 | val 2.5692 | gap 0.0104 | lr 5.93e-04 | params 1.21M | host_mem 16.0% | gpu_mem 31.7MB | 423.9 ms/it
[exp00_head4_emb128_bs8_it1000_do0.1] iter 170/1000 | train_now 2.5355 | train_eval 2.5761 | val 2.5508 | gap 0.0253 | lr 5.91e-04 | params 1.21M | host_mem 16.0% | gpu_mem 31.7MB | 416.9 ms/it
[exp00_head4_emb128_bs8_it1000_do0.1] iter 180/1000 | train_now 2.5568 | train_eval 2.5449 | val 2.5569 | gap -0.0120 | lr 5.88e-04 | params 1.21M | host_mem 16.0% | gpu_mem 31.7MB | 417.0 ms/it
[exp00_head4_emb128_bs8_it1000_do0.1] iter 190/1000 | train_now 2.5579 | train_eval 2.5587 | val 2.5564 | gap 0.0023 | lr 5.85e-04 | params 1.21M | host_mem 16.0% | gpu_mem 31.7MB | 450.1 ms/it
[exp00_head4_emb128_bs8_it1000_do0.1] iter 200/1000 | train_now 2.5984 | train_eval 2.5535 | val 2.5494 | gap 0.0041 | lr 5.82e-04 | params 1.21M | host_mem 16.0% | gpu_mem 31.7MB | 411.7 ms/it
[exp00_head4_emb128_bs8_it1000_do0.1] iter 210/1000 | train_now 2.5430 | train_eval 2.5242 | val 2.5391 | gap -0.0149 | lr 5.78e-04 | params 1.21M | host_mem 16.0% | gpu_mem 31.7MB | 441.2 ms/it
[exp00_head4_emb128_bs8_it1000_do0.1] iter 220/1000 | train_now 2.5823 | train_eval 2.5022 | val 2.5103 | gap -0.0081 | lr 5.74e-04 | params 1.21M | host_mem 16.0% | gpu_mem 31.7MB | 425.0 ms/it
[exp00_head4_emb128_bs8_it1000_do0.1] iter 230/1000 | train_now 2.5003 | train_eval 2.5151 | val 2.5223 | gap -0.0071 | lr 5.70e-04 | params 1.21M | host_mem 16.0% | gpu_mem 31.7MB | 419.1 ms/it
[exp00_head4_emb128_bs8_it1000_do0.1] iter 240/1000 | train_now 2.5207 | train_eval 2.5080 | val 2.5274 | gap -0.0193 | lr 5.65e-04 | params 1.21M | host_mem 16.0% | gpu_mem 31.7MB | 417.1 ms/it
[exp00_head4_emb128_bs8_it1000_do0.1] iter 250/1000 | train_now 2.5555 | train_eval 2.5048 | val 2.5174 | gap -0.0126 | lr 5.60e-04 | params 1.21M | host_mem 16.0% | gpu_mem 31.7MB | 406.5 ms/it
[exp00_head4_emb128_bs8_it1000_do0.1] iter 260/1000 | train_now 2.4577 | train_eval 2.5070 | val 2.5202 | gap -0.0132 | lr 5.54e-04 | params 1.21M | host_mem 16.0% | gpu_mem 31.7MB | 429.5 ms/it
[exp00_head4_emb128_bs8_it1000_do0.1] iter 270/1000 | train_now 2.5116 | train_eval 2.5183 | val 2.5199 | gap -0.0016 | lr 5.49e-04 | params 1.21M | host_mem 16.0% | gpu_mem 31.7MB | 409.7 ms/it
