[exp02_head4_emb128_bs8_it2000_do0.1] iter 0/2000 | train_now 4.1911 | train_eval 4.1830 | val 4.1794 | gap 0.0035 | lr 5.94e-06 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 285.1 ms/it
[exp02_head4_emb128_bs8_it2000_do0.1] iter 10/2000 | train_now 3.8013 | train_eval 3.7765 | val 3.7849 | gap -0.0084 | lr 6.53e-05 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 415.1 ms/it
[exp02_head4_emb128_bs8_it2000_do0.1] iter 20/2000 | train_now 3.6570 | train_eval 3.6224 | val 3.6240 | gap -0.0016 | lr 1.25e-04 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 443.3 ms/it
[exp02_head4_emb128_bs8_it2000_do0.1] iter 30/2000 | train_now 3.4199 | train_eval 3.3848 | val 3.3993 | gap -0.0145 | lr 1.84e-04 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 422.4 ms/it
[exp02_head4_emb128_bs8_it2000_do0.1] iter 40/2000 | train_now 3.2136 | train_eval 3.2053 | val 3.2270 | gap -0.0217 | lr 2.44e-04 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 551.8 ms/it
[exp02_head4_emb128_bs8_it2000_do0.1] iter 50/2000 | train_now 3.0706 | train_eval 3.0468 | val 3.0759 | gap -0.0292 | lr 3.03e-04 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 543.0 ms/it
[exp02_head4_emb128_bs8_it2000_do0.1] iter 60/2000 | train_now 2.9181 | train_eval 2.9236 | val 2.9503 | gap -0.0267 | lr 3.62e-04 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 548.9 ms/it
[exp02_head4_emb128_bs8_it2000_do0.1] iter 70/2000 | train_now 2.9239 | train_eval 2.8265 | val 2.8518 | gap -0.0253 | lr 4.22e-04 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 556.5 ms/it
[exp02_head4_emb128_bs8_it2000_do0.1] iter 80/2000 | train_now 2.8075 | train_eval 2.7870 | val 2.7888 | gap -0.0019 | lr 4.81e-04 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 623.6 ms/it
[exp02_head4_emb128_bs8_it2000_do0.1] iter 90/2000 | train_now 2.6353 | train_eval 2.7143 | val 2.7356 | gap -0.0213 | lr 5.41e-04 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 456.3 ms/it
[exp02_head4_emb128_bs8_it2000_do0.1] iter 100/2000 | train_now 2.6873 | train_eval 2.6717 | val 2.6939 | gap -0.0222 | lr 6.00e-04 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 439.6 ms/it
[exp02_head4_emb128_bs8_it2000_do0.1] iter 110/2000 | train_now 2.6346 | train_eval 2.6540 | val 2.6492 | gap 0.0048 | lr 6.00e-04 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 418.1 ms/it
[exp02_head4_emb128_bs8_it2000_do0.1] iter 120/2000 | train_now 2.6367 | train_eval 2.6129 | val 2.6128 | gap 0.0001 | lr 6.00e-04 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 415.8 ms/it
[exp02_head4_emb128_bs8_it2000_do0.1] iter 130/2000 | train_now 2.5884 | train_eval 2.6209 | val 2.6169 | gap 0.0040 | lr 6.00e-04 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 428.8 ms/it
[exp02_head4_emb128_bs8_it2000_do0.1] iter 140/2000 | train_now 2.6012 | train_eval 2.5914 | val 2.5843 | gap 0.0071 | lr 5.99e-04 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 410.8 ms/it
