[exp03_head4_emb128_bs8_it2000_do0.2] iter 0/2000 | train_now 4.1932 | train_eval 4.1835 | val 4.1798 | gap 0.0036 | lr 5.94e-06 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 289.8 ms/it
[exp03_head4_emb128_bs8_it2000_do0.2] iter 10/2000 | train_now 3.8223 | train_eval 3.7833 | val 3.7920 | gap -0.0087 | lr 6.53e-05 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 427.4 ms/it
[exp03_head4_emb128_bs8_it2000_do0.2] iter 20/2000 | train_now 3.6810 | train_eval 3.6473 | val 3.6525 | gap -0.0053 | lr 1.25e-04 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 415.5 ms/it
[exp03_head4_emb128_bs8_it2000_do0.2] iter 30/2000 | train_now 3.4656 | train_eval 3.4169 | val 3.4296 | gap -0.0126 | lr 1.84e-04 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 427.5 ms/it
[exp03_head4_emb128_bs8_it2000_do0.2] iter 40/2000 | train_now 3.2548 | train_eval 3.2245 | val 3.2463 | gap -0.0218 | lr 2.44e-04 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 420.5 ms/it
[exp03_head4_emb128_bs8_it2000_do0.2] iter 50/2000 | train_now 3.1054 | train_eval 3.0635 | val 3.0974 | gap -0.0339 | lr 3.03e-04 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 443.9 ms/it
[exp03_head4_emb128_bs8_it2000_do0.2] iter 60/2000 | train_now 2.9526 | train_eval 2.9391 | val 2.9644 | gap -0.0252 | lr 3.62e-04 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 417.9 ms/it
[exp03_head4_emb128_bs8_it2000_do0.2] iter 70/2000 | train_now 2.9630 | train_eval 2.8360 | val 2.8639 | gap -0.0279 | lr 4.22e-04 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 416.3 ms/it
[exp03_head4_emb128_bs8_it2000_do0.2] iter 80/2000 | train_now 2.8477 | train_eval 2.7994 | val 2.8048 | gap -0.0053 | lr 4.81e-04 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 429.1 ms/it
[exp03_head4_emb128_bs8_it2000_do0.2] iter 90/2000 | train_now 2.6704 | train_eval 2.7272 | val 2.7474 | gap -0.0202 | lr 5.41e-04 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 413.0 ms/it
[exp03_head4_emb128_bs8_it2000_do0.2] iter 100/2000 | train_now 2.7088 | train_eval 2.6768 | val 2.6996 | gap -0.0228 | lr 6.00e-04 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 425.7 ms/it
[exp03_head4_emb128_bs8_it2000_do0.2] iter 110/2000 | train_now 2.6569 | train_eval 2.6583 | val 2.6528 | gap 0.0055 | lr 6.00e-04 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 420.2 ms/it
