[exp04_head4_emb128_bs16_it1000_do0.1] iter 0/1000 | train_now 4.1883 | train_eval 4.1837 | val 4.1794 | gap 0.0043 | lr 5.94e-06 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 365.0 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 10/1000 | train_now 3.8255 | train_eval 3.7672 | val 3.7700 | gap -0.0029 | lr 6.53e-05 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 429.3 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 20/1000 | train_now 3.6144 | train_eval 3.5865 | val 3.5936 | gap -0.0071 | lr 1.25e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 545.0 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 30/1000 | train_now 3.3770 | train_eval 3.3592 | val 3.3824 | gap -0.0232 | lr 1.84e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 587.2 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 40/1000 | train_now 3.2124 | train_eval 3.1964 | val 3.2069 | gap -0.0105 | lr 2.44e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 575.5 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 50/1000 | train_now 3.0609 | train_eval 3.0296 | val 3.0393 | gap -0.0097 | lr 3.03e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 594.1 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 60/1000 | train_now 2.9056 | train_eval 2.8974 | val 2.9101 | gap -0.0127 | lr 3.62e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 659.7 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 70/1000 | train_now 2.8366 | train_eval 2.8059 | val 2.8170 | gap -0.0111 | lr 4.22e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 447.9 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 80/1000 | train_now 2.7983 | train_eval 2.7315 | val 2.7439 | gap -0.0124 | lr 4.81e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 470.9 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 90/1000 | train_now 2.6676 | train_eval 2.6682 | val 2.6864 | gap -0.0181 | lr 5.41e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 453.6 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 100/1000 | train_now 2.6540 | train_eval 2.6471 | val 2.6493 | gap -0.0022 | lr 6.00e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 457.5 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 110/1000 | train_now 2.6543 | train_eval 2.5967 | val 2.6031 | gap -0.0063 | lr 6.00e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 451.6 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 120/1000 | train_now 2.5956 | train_eval 2.6043 | val 2.6096 | gap -0.0053 | lr 5.99e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 441.7 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 130/1000 | train_now 2.5703 | train_eval 2.5570 | val 2.5796 | gap -0.0226 | lr 5.98e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 449.8 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 140/1000 | train_now 2.5355 | train_eval 2.5571 | val 2.5585 | gap -0.0014 | lr 5.97e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 440.0 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 150/1000 | train_now 2.5839 | train_eval 2.5387 | val 2.5543 | gap -0.0156 | lr 5.95e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 442.5 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 160/1000 | train_now 2.5426 | train_eval 2.5191 | val 2.5164 | gap 0.0027 | lr 5.93e-04 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 428.3 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 170/1000 | train_now 2.5329 | train_eval 2.5338 | val 2.5262 | gap 0.0075 | lr 5.91e-04 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 453.8 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 180/1000 | train_now 2.5612 | train_eval 2.4954 | val 2.4948 | gap 0.0006 | lr 5.88e-04 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 424.9 ms/it
