[exp05_head4_emb128_bs16_it1000_do0.2] iter 0/1000 | train_now 4.1877 | train_eval 4.1840 | val 4.1798 | gap 0.0043 | lr 5.94e-06 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 371.3 ms/it
[exp05_head4_emb128_bs16_it1000_do0.2] iter 10/1000 | train_now 3.8489 | train_eval 3.7734 | val 3.7762 | gap -0.0029 | lr 6.53e-05 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 450.7 ms/it
[exp05_head4_emb128_bs16_it1000_do0.2] iter 20/1000 | train_now 3.6425 | train_eval 3.6161 | val 3.6275 | gap -0.0114 | lr 1.25e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 461.5 ms/it
[exp05_head4_emb128_bs16_it1000_do0.2] iter 30/1000 | train_now 3.4226 | train_eval 3.3890 | val 3.4106 | gap -0.0216 | lr 1.84e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 444.6 ms/it
[exp05_head4_emb128_bs16_it1000_do0.2] iter 40/1000 | train_now 3.2446 | train_eval 3.2144 | val 3.2251 | gap -0.0107 | lr 2.44e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 448.8 ms/it
[exp05_head4_emb128_bs16_it1000_do0.2] iter 50/1000 | train_now 3.0909 | train_eval 3.0424 | val 3.0529 | gap -0.0104 | lr 3.03e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 460.3 ms/it
[exp05_head4_emb128_bs16_it1000_do0.2] iter 60/1000 | train_now 2.9322 | train_eval 2.9105 | val 2.9239 | gap -0.0134 | lr 3.62e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 448.0 ms/it
[exp05_head4_emb128_bs16_it1000_do0.2] iter 70/1000 | train_now 2.8558 | train_eval 2.8158 | val 2.8283 | gap -0.0125 | lr 4.22e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 458.7 ms/it
[exp05_head4_emb128_bs16_it1000_do0.2] iter 80/1000 | train_now 2.8152 | train_eval 2.7407 | val 2.7545 | gap -0.0138 | lr 4.81e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 446.6 ms/it
[exp05_head4_emb128_bs16_it1000_do0.2] iter 90/1000 | train_now 2.6846 | train_eval 2.6788 | val 2.6942 | gap -0.0154 | lr 5.41e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 460.1 ms/it
[exp05_head4_emb128_bs16_it1000_do0.2] iter 100/1000 | train_now 2.6832 | train_eval 2.6527 | val 2.6563 | gap -0.0036 | lr 6.00e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 445.7 ms/it
[exp05_head4_emb128_bs16_it1000_do0.2] iter 110/1000 | train_now 2.6743 | train_eval 2.6071 | val 2.6134 | gap -0.0063 | lr 6.00e-04 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 458.7 ms/it
[exp05_head4_emb128_bs16_it1000_do0.2] iter 120/1000 | train_now 2.6089 | train_eval 2.6151 | val 2.6184 | gap -0.0033 | lr 5.99e-04 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 442.5 ms/it
[exp05_head4_emb128_bs16_it1000_do0.2] iter 130/1000 | train_now 2.6054 | train_eval 2.5640 | val 2.5846 | gap -0.0206 | lr 5.98e-04 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 439.2 ms/it
