[exp06_head4_emb128_bs16_it2000_do0.1] iter 0/2000 | train_now 4.1883 | train_eval 4.1837 | val 4.1794 | gap 0.0043 | lr 5.94e-06 | params 1.21M | host_mem 16.4% | gpu_mem 41.5MB | 360.8 ms/it
[exp06_head4_emb128_bs16_it2000_do0.1] iter 10/2000 | train_now 3.8255 | train_eval 3.7672 | val 3.7700 | gap -0.0029 | lr 6.53e-05 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 453.4 ms/it
[exp06_head4_emb128_bs16_it2000_do0.1] iter 20/2000 | train_now 3.6144 | train_eval 3.5865 | val 3.5936 | gap -0.0071 | lr 1.25e-04 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 436.4 ms/it
[exp06_head4_emb128_bs16_it2000_do0.1] iter 30/2000 | train_now 3.3770 | train_eval 3.3592 | val 3.3824 | gap -0.0232 | lr 1.84e-04 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 454.1 ms/it
[exp06_head4_emb128_bs16_it2000_do0.1] iter 40/2000 | train_now 3.2124 | train_eval 3.1964 | val 3.2069 | gap -0.0105 | lr 2.44e-04 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 439.2 ms/it
[exp06_head4_emb128_bs16_it2000_do0.1] iter 50/2000 | train_now 3.0609 | train_eval 3.0296 | val 3.0393 | gap -0.0097 | lr 3.03e-04 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 443.4 ms/it
[exp06_head4_emb128_bs16_it2000_do0.1] iter 60/2000 | train_now 2.9056 | train_eval 2.8974 | val 2.9101 | gap -0.0127 | lr 3.62e-04 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 464.7 ms/it
[exp06_head4_emb128_bs16_it2000_do0.1] iter 70/2000 | train_now 2.8366 | train_eval 2.8059 | val 2.8170 | gap -0.0111 | lr 4.22e-04 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 437.7 ms/it
[exp06_head4_emb128_bs16_it2000_do0.1] iter 80/2000 | train_now 2.7983 | train_eval 2.7315 | val 2.7439 | gap -0.0124 | lr 4.81e-04 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 444.9 ms/it
[exp06_head4_emb128_bs16_it2000_do0.1] iter 90/2000 | train_now 2.6676 | train_eval 2.6682 | val 2.6864 | gap -0.0181 | lr 5.41e-04 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 434.0 ms/it
[exp06_head4_emb128_bs16_it2000_do0.1] iter 100/2000 | train_now 2.6540 | train_eval 2.6471 | val 2.6493 | gap -0.0022 | lr 6.00e-04 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 452.1 ms/it
[exp06_head4_emb128_bs16_it2000_do0.1] iter 110/2000 | train_now 2.6542 | train_eval 2.5967 | val 2.6031 | gap -0.0063 | lr 6.00e-04 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 434.3 ms/it
[exp06_head4_emb128_bs16_it2000_do0.1] iter 120/2000 | train_now 2.5956 | train_eval 2.6043 | val 2.6095 | gap -0.0052 | lr 6.00e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 459.8 ms/it
[exp06_head4_emb128_bs16_it2000_do0.1] iter 130/2000 | train_now 2.5704 | train_eval 2.5571 | val 2.5796 | gap -0.0226 | lr 6.00e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 430.3 ms/it
[exp06_head4_emb128_bs16_it2000_do0.1] iter 140/2000 | train_now 2.5357 | train_eval 2.5571 | val 2.5586 | gap -0.0014 | lr 5.99e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 430.8 ms/it
[exp06_head4_emb128_bs16_it2000_do0.1] iter 150/2000 | train_now 2.5837 | train_eval 2.5386 | val 2.5543 | gap -0.0157 | lr 5.99e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 456.1 ms/it
[exp06_head4_emb128_bs16_it2000_do0.1] iter 160/2000 | train_now 2.5428 | train_eval 2.5193 | val 2.5165 | gap 0.0028 | lr 5.99e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 438.6 ms/it
[exp06_head4_emb128_bs16_it2000_do0.1] iter 170/2000 | train_now 2.5326 | train_eval 2.5341 | val 2.5263 | gap 0.0078 | lr 5.98e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 620.4 ms/it
[exp06_head4_emb128_bs16_it2000_do0.1] iter 180/2000 | train_now 2.5614 | train_eval 2.4958 | val 2.4955 | gap 0.0004 | lr 5.97e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 547.4 ms/it
