[exp08_head4_emb256_bs8_it1000_do0.1] iter 0/1000 | train_now 4.2288 | train_eval 4.1748 | val 4.1745 | gap 0.0002 | lr 5.94e-06 | params 4.77M | host_mem 16.9% | gpu_mem 79.3MB | 403.8 ms/it
[exp08_head4_emb256_bs8_it1000_do0.1] iter 10/1000 | train_now 3.4247 | train_eval 3.4099 | val 3.4484 | gap -0.0385 | lr 6.53e-05 | params 4.77M | host_mem 16.9% | gpu_mem 79.3MB | 468.9 ms/it
[exp08_head4_emb256_bs8_it1000_do0.1] iter 20/1000 | train_now 3.0994 | train_eval 3.0720 | val 3.0989 | gap -0.0269 | lr 1.25e-04 | params 4.77M | host_mem 17.0% | gpu_mem 79.3MB | 539.9 ms/it
[exp08_head4_emb256_bs8_it1000_do0.1] iter 30/1000 | train_now 2.9665 | train_eval 2.8885 | val 2.8806 | gap 0.0079 | lr 1.84e-04 | params 4.77M | host_mem 17.1% | gpu_mem 79.3MB | 603.7 ms/it
[exp08_head4_emb256_bs8_it1000_do0.1] iter 40/1000 | train_now 2.7838 | train_eval 2.7578 | val 2.7628 | gap -0.0050 | lr 2.44e-04 | params 4.77M | host_mem 17.1% | gpu_mem 79.3MB | 603.5 ms/it
[exp08_head4_emb256_bs8_it1000_do0.1] iter 50/1000 | train_now 2.6767 | train_eval 2.6808 | val 2.7046 | gap -0.0238 | lr 3.03e-04 | params 4.77M | host_mem 17.0% | gpu_mem 79.3MB | 579.8 ms/it
[exp08_head4_emb256_bs8_it1000_do0.1] iter 60/1000 | train_now 2.6581 | train_eval 2.6427 | val 2.6551 | gap -0.0123 | lr 3.62e-04 | params 4.77M | host_mem 17.1% | gpu_mem 79.3MB | 684.7 ms/it
[exp08_head4_emb256_bs8_it1000_do0.1] iter 70/1000 | train_now 2.6393 | train_eval 2.6339 | val 2.6256 | gap 0.0083 | lr 4.22e-04 | params 4.77M | host_mem 17.1% | gpu_mem 79.3MB | 555.2 ms/it
[exp08_head4_emb256_bs8_it1000_do0.1] iter 80/1000 | train_now 2.6264 | train_eval 2.6003 | val 2.6105 | gap -0.0102 | lr 4.81e-04 | params 4.77M | host_mem 17.1% | gpu_mem 79.3MB | 492.7 ms/it
[exp08_head4_emb256_bs8_it1000_do0.1] iter 90/1000 | train_now 2.5717 | train_eval 2.5917 | val 2.5924 | gap -0.0007 | lr 5.41e-04 | params 4.77M | host_mem 16.9% | gpu_mem 79.3MB | 479.5 ms/it
[exp08_head4_emb256_bs8_it1000_do0.1] iter 100/1000 | train_now 2.5239 | train_eval 2.5555 | val 2.5703 | gap -0.0148 | lr 6.00e-04 | params 4.77M | host_mem 17.0% | gpu_mem 79.3MB | 517.1 ms/it
