[exp09_head4_emb256_bs8_it1000_do0.2] iter 0/1000 | train_now 4.2217 | train_eval 4.1773 | val 4.1769 | gap 0.0003 | lr 5.94e-06 | params 4.77M | host_mem 17.0% | gpu_mem 79.3MB | 381.0 ms/it
[exp09_head4_emb256_bs8_it1000_do0.2] iter 10/1000 | train_now 3.4561 | train_eval 3.4293 | val 3.4690 | gap -0.0398 | lr 6.53e-05 | params 4.77M | host_mem 16.9% | gpu_mem 79.3MB | 486.7 ms/it
[exp09_head4_emb256_bs8_it1000_do0.2] iter 20/1000 | train_now 3.1877 | train_eval 3.1246 | val 3.1472 | gap -0.0227 | lr 1.25e-04 | params 4.77M | host_mem 17.0% | gpu_mem 79.3MB | 493.2 ms/it
[exp09_head4_emb256_bs8_it1000_do0.2] iter 30/1000 | train_now 3.0165 | train_eval 2.9262 | val 2.9239 | gap 0.0024 | lr 1.84e-04 | params 4.77M | host_mem 17.0% | gpu_mem 79.3MB | 525.8 ms/it
[exp09_head4_emb256_bs8_it1000_do0.2] iter 40/1000 | train_now 2.8284 | train_eval 2.7741 | val 2.7799 | gap -0.0058 | lr 2.44e-04 | params 4.77M | host_mem 17.0% | gpu_mem 79.3MB | 463.1 ms/it
[exp09_head4_emb256_bs8_it1000_do0.2] iter 50/1000 | train_now 2.7101 | train_eval 2.6900 | val 2.7161 | gap -0.0262 | lr 3.03e-04 | params 4.77M | host_mem 17.0% | gpu_mem 79.3MB | 473.7 ms/it
[exp09_head4_emb256_bs8_it1000_do0.2] iter 60/1000 | train_now 2.6694 | train_eval 2.6565 | val 2.6776 | gap -0.0212 | lr 3.62e-04 | params 4.77M | host_mem 17.0% | gpu_mem 79.3MB | 466.4 ms/it
[exp09_head4_emb256_bs8_it1000_do0.2] iter 70/1000 | train_now 2.6401 | train_eval 2.6350 | val 2.6308 | gap 0.0042 | lr 4.22e-04 | params 4.77M | host_mem 17.0% | gpu_mem 79.3MB | 484.0 ms/it
[exp09_head4_emb256_bs8_it1000_do0.2] iter 80/1000 | train_now 2.6394 | train_eval 2.6056 | val 2.6067 | gap -0.0011 | lr 4.81e-04 | params 4.77M | host_mem 17.0% | gpu_mem 79.3MB | 466.5 ms/it
[exp09_head4_emb256_bs8_it1000_do0.2] iter 90/1000 | train_now 2.5745 | train_eval 2.5950 | val 2.5938 | gap 0.0012 | lr 5.41e-04 | params 4.77M | host_mem 17.1% | gpu_mem 79.3MB | 631.6 ms/it
[exp09_head4_emb256_bs8_it1000_do0.2] iter 100/1000 | train_now 2.5477 | train_eval 2.5679 | val 2.5801 | gap -0.0122 | lr 6.00e-04 | params 4.77M | host_mem 17.0% | gpu_mem 79.3MB | 580.1 ms/it
[exp09_head4_emb256_bs8_it1000_do0.2] iter 110/1000 | train_now 2.5822 | train_eval 2.5626 | val 2.5581 | gap 0.0045 | lr 6.00e-04 | params 4.77M | host_mem 17.0% | gpu_mem 79.3MB | 617.3 ms/it
[exp09_head4_emb256_bs8_it1000_do0.2] iter 120/1000 | train_now 2.5871 | train_eval 2.5583 | val 2.5552 | gap 0.0031 | lr 5.99e-04 | params 4.77M | host_mem 17.0% | gpu_mem 79.3MB | 707.6 ms/it
[exp09_head4_emb256_bs8_it1000_do0.2] iter 130/1000 | train_now 2.5558 | train_eval 2.5414 | val 2.5593 | gap -0.0179 | lr 5.98e-04 | params 4.77M | host_mem 17.0% | gpu_mem 79.3MB | 616.3 ms/it
[exp09_head4_emb256_bs8_it1000_do0.2] iter 140/1000 | train_now 2.5453 | train_eval 2.5397 | val 2.5579 | gap -0.0182 | lr 5.97e-04 | params 4.77M | host_mem 17.0% | gpu_mem 79.3MB | 451.2 ms/it
[exp09_head4_emb256_bs8_it1000_do0.2] iter 150/1000 | train_now 2.5874 | train_eval 2.5063 | val 2.5278 | gap -0.0215 | lr 5.95e-04 | params 4.77M | host_mem 17.0% | gpu_mem 79.3MB | 438.9 ms/it
[exp09_head4_emb256_bs8_it1000_do0.2] iter 160/1000 | train_now 2.5759 | train_eval 2.5109 | val 2.5108 | gap 0.0001 | lr 5.93e-04 | params 4.77M | host_mem 17.0% | gpu_mem 79.3MB | 473.0 ms/it
[exp09_head4_emb256_bs8_it1000_do0.2] iter 170/1000 | train_now 2.5284 | train_eval 2.5184 | val 2.5213 | gap -0.0029 | lr 5.91e-04 | params 4.77M | host_mem 17.0% | gpu_mem 79.3MB | 476.3 ms/it
[exp09_head4_emb256_bs8_it1000_do0.2] iter 180/1000 | train_now 2.5623 | train_eval 2.5192 | val 2.5294 | gap -0.0102 | lr 5.88e-04 | params 4.77M | host_mem 17.0% | gpu_mem 79.3MB | 446.0 ms/it
[exp09_head4_emb256_bs8_it1000_do0.2] iter 190/1000 | train_now 2.5484 | train_eval 2.5154 | val 2.5136 | gap 0.0019 | lr 5.85e-04 | params 4.77M | host_mem 17.0% | gpu_mem 79.3MB | 453.1 ms/it
[exp09_head4_emb256_bs8_it1000_do0.2] iter 200/1000 | train_now 2.5449 | train_eval 2.4860 | val 2.4955 | gap -0.0095 | lr 5.82e-04 | params 4.77M | host_mem 17.0% | gpu_mem 79.3MB | 436.5 ms/it
[exp09_head4_emb256_bs8_it1000_do0.2] iter 210/1000 | train_now 2.5089 | train_eval 2.4999 | val 2.4899 | gap 0.0100 | lr 5.78e-04 | params 4.77M | host_mem 17.0% | gpu_mem 79.3MB | 479.5 ms/it
[exp09_head4_emb256_bs8_it1000_do0.2] iter 220/1000 | train_now 2.4709 | train_eval 2.4840 | val 2.5013 | gap -0.0172 | lr 5.74e-04 | params 4.77M | host_mem 17.1% | gpu_mem 79.3MB | 488.8 ms/it
[exp09_head4_emb256_bs8_it1000_do0.2] iter 230/1000 | train_now 2.6494 | train_eval 2.4898 | val 2.4803 | gap 0.0095 | lr 5.70e-04 | params 4.77M | host_mem 17.1% | gpu_mem 79.3MB | 457.6 ms/it
[exp09_head4_emb256_bs8_it1000_do0.2] iter 240/1000 | train_now 2.5319 | train_eval 2.4912 | val 2.4809 | gap 0.0103 | lr 5.65e-04 | params 4.77M | host_mem 17.1% | gpu_mem 79.3MB | 504.7 ms/it
[exp09_head4_emb256_bs8_it1000_do0.2] iter 250/1000 | train_now 2.5117 | train_eval 2.4874 | val 2.5012 | gap -0.0138 | lr 5.60e-04 | params 4.77M | host_mem 17.1% | gpu_mem 79.3MB | 487.5 ms/it
[exp09_head4_emb256_bs8_it1000_do0.2] iter 260/1000 | train_now 2.5277 | train_eval 2.4936 | val 2.4937 | gap -0.0001 | lr 5.54e-04 | params 4.77M | host_mem 17.1% | gpu_mem 79.3MB | 462.0 ms/it
[exp09_head4_emb256_bs8_it1000_do0.2] iter 270/1000 | train_now 2.4887 | train_eval 2.4619 | val 2.4662 | gap -0.0043 | lr 5.49e-04 | params 4.77M | host_mem 17.1% | gpu_mem 79.3MB | 445.7 ms/it
[exp09_head4_emb256_bs8_it1000_do0.2] iter 280/1000 | train_now 2.4442 | train_eval 2.4616 | val 2.4682 | gap -0.0067 | lr 5.43e-04 | params 4.77M | host_mem 17.1% | gpu_mem 79.3MB | 478.0 ms/it
[exp09_head4_emb256_bs8_it1000_do0.2] iter 290/1000 | train_now 2.4847 | train_eval 2.4777 | val 2.4705 | gap 0.0072 | lr 5.36e-04 | params 4.77M | host_mem 17.1% | gpu_mem 79.3MB | 445.2 ms/it
[exp09_head4_emb256_bs8_it1000_do0.2] iter 300/1000 | train_now 2.4643 | train_eval 2.4670 | val 2.4713 | gap -0.0043 | lr 5.30e-04 | params 4.77M | host_mem 17.1% | gpu_mem 79.3MB | 455.4 ms/it
[exp09_head4_emb256_bs8_it1000_do0.2] iter 310/1000 | train_now 2.4442 | train_eval 2.4643 | val 2.4597 | gap 0.0046 | lr 5.23e-04 | params 4.77M | host_mem 17.1% | gpu_mem 79.3MB | 441.5 ms/it
[exp09_head4_emb256_bs8_it1000_do0.2] iter 320/1000 | train_now 2.4833 | train_eval 2.4682 | val 2.4749 | gap -0.0066 | lr 5.16e-04 | params 4.77M | host_mem 17.1% | gpu_mem 79.3MB | 482.2 ms/it
