[exp11_head4_emb256_bs8_it2000_do0.2] iter 0/2000 | train_now 4.2217 | train_eval 4.1773 | val 4.1769 | gap 0.0003 | lr 5.94e-06 | params 4.77M | host_mem 17.1% | gpu_mem 98.4MB | 457.1 ms/it
[exp11_head4_emb256_bs8_it2000_do0.2] iter 10/2000 | train_now 3.4561 | train_eval 3.4293 | val 3.4690 | gap -0.0398 | lr 6.53e-05 | params 4.77M | host_mem 17.1% | gpu_mem 79.3MB | 577.3 ms/it
[exp11_head4_emb256_bs8_it2000_do0.2] iter 20/2000 | train_now 3.1877 | train_eval 3.1246 | val 3.1472 | gap -0.0227 | lr 1.25e-04 | params 4.77M | host_mem 17.2% | gpu_mem 79.3MB | 622.6 ms/it
[exp11_head4_emb256_bs8_it2000_do0.2] iter 30/2000 | train_now 3.0165 | train_eval 2.9262 | val 2.9239 | gap 0.0024 | lr 1.84e-04 | params 4.77M | host_mem 17.2% | gpu_mem 79.3MB | 696.4 ms/it
[exp11_head4_emb256_bs8_it2000_do0.2] iter 40/2000 | train_now 2.8284 | train_eval 2.7741 | val 2.7799 | gap -0.0058 | lr 2.44e-04 | params 4.77M | host_mem 17.2% | gpu_mem 79.3MB | 492.8 ms/it
[exp11_head4_emb256_bs8_it2000_do0.2] iter 50/2000 | train_now 2.7101 | train_eval 2.6900 | val 2.7161 | gap -0.0262 | lr 3.03e-04 | params 4.77M | host_mem 17.1% | gpu_mem 79.3MB | 483.6 ms/it
[exp11_head4_emb256_bs8_it2000_do0.2] iter 60/2000 | train_now 2.6694 | train_eval 2.6565 | val 2.6776 | gap -0.0212 | lr 3.62e-04 | params 4.77M | host_mem 17.1% | gpu_mem 79.3MB | 466.4 ms/it
[exp11_head4_emb256_bs8_it2000_do0.2] iter 70/2000 | train_now 2.6401 | train_eval 2.6350 | val 2.6308 | gap 0.0042 | lr 4.22e-04 | params 4.77M | host_mem 17.1% | gpu_mem 79.3MB | 470.3 ms/it
[exp11_head4_emb256_bs8_it2000_do0.2] iter 80/2000 | train_now 2.6394 | train_eval 2.6056 | val 2.6067 | gap -0.0011 | lr 4.81e-04 | params 4.77M | host_mem 17.1% | gpu_mem 79.3MB | 479.2 ms/it
[exp11_head4_emb256_bs8_it2000_do0.2] iter 90/2000 | train_now 2.5745 | train_eval 2.5950 | val 2.5938 | gap 0.0012 | lr 5.41e-04 | params 4.77M | host_mem 17.1% | gpu_mem 79.3MB | 477.4 ms/it
[exp11_head4_emb256_bs8_it2000_do0.2] iter 100/2000 | train_now 2.5477 | train_eval 2.5679 | val 2.5801 | gap -0.0122 | lr 6.00e-04 | params 4.77M | host_mem 17.1% | gpu_mem 79.3MB | 477.6 ms/it
