[exp12_head4_emb256_bs16_it1000_do0.1] iter 0/1000 | train_now 4.2344 | train_eval 4.1708 | val 4.1731 | gap -0.0023 | lr 5.94e-06 | params 4.77M | host_mem 17.5% | gpu_mem 79.4MB | 591.7 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 10/1000 | train_now 3.3925 | train_eval 3.4032 | val 3.4245 | gap -0.0213 | lr 6.53e-05 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 817.1 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 20/1000 | train_now 3.0836 | train_eval 3.0552 | val 3.0748 | gap -0.0196 | lr 1.25e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 831.0 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 30/1000 | train_now 2.8490 | train_eval 2.8407 | val 2.8625 | gap -0.0218 | lr 1.84e-04 | params 4.77M | host_mem 17.3% | gpu_mem 79.4MB | 827.7 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 40/1000 | train_now 2.7754 | train_eval 2.7178 | val 2.7370 | gap -0.0192 | lr 2.44e-04 | params 4.77M | host_mem 17.3% | gpu_mem 79.4MB | 826.3 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 50/1000 | train_now 2.6474 | train_eval 2.6626 | val 2.6454 | gap 0.0172 | lr 3.03e-04 | params 4.77M | host_mem 17.3% | gpu_mem 79.4MB | 826.5 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 60/1000 | train_now 2.6541 | train_eval 2.6189 | val 2.6044 | gap 0.0144 | lr 3.62e-04 | params 4.77M | host_mem 17.3% | gpu_mem 79.4MB | 829.1 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 70/1000 | train_now 2.6160 | train_eval 2.5688 | val 2.5958 | gap -0.0270 | lr 4.22e-04 | params 4.77M | host_mem 17.3% | gpu_mem 79.4MB | 825.7 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 80/1000 | train_now 2.5752 | train_eval 2.5570 | val 2.5547 | gap 0.0024 | lr 4.81e-04 | params 4.77M | host_mem 17.3% | gpu_mem 79.4MB | 825.8 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 90/1000 | train_now 2.5986 | train_eval 2.5536 | val 2.5431 | gap 0.0105 | lr 5.41e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 849.2 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 100/1000 | train_now 2.5322 | train_eval 2.5337 | val 2.5412 | gap -0.0075 | lr 6.00e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 844.9 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 110/1000 | train_now 2.5302 | train_eval 2.5236 | val 2.5281 | gap -0.0045 | lr 6.00e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 854.9 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 120/1000 | train_now 2.5523 | train_eval 2.5000 | val 2.5022 | gap -0.0022 | lr 5.99e-04 | params 4.77M | host_mem 17.5% | gpu_mem 79.4MB | 847.8 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 130/1000 | train_now 2.5473 | train_eval 2.4878 | val 2.4969 | gap -0.0090 | lr 5.98e-04 | params 4.77M | host_mem 17.5% | gpu_mem 79.4MB | 828.9 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 140/1000 | train_now 2.4933 | train_eval 2.4643 | val 2.4860 | gap -0.0217 | lr 5.97e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 832.3 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 150/1000 | train_now 2.4301 | train_eval 2.4859 | val 2.4727 | gap 0.0132 | lr 5.95e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 833.0 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 160/1000 | train_now 2.4823 | train_eval 2.4725 | val 2.4627 | gap 0.0098 | lr 5.93e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 830.9 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 170/1000 | train_now 2.4203 | train_eval 2.4534 | val 2.4770 | gap -0.0235 | lr 5.91e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 833.5 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 180/1000 | train_now 2.5236 | train_eval 2.4515 | val 2.4651 | gap -0.0136 | lr 5.88e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 812.2 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 190/1000 | train_now 2.4510 | train_eval 2.4321 | val 2.4483 | gap -0.0162 | lr 5.85e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 814.5 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 200/1000 | train_now 2.4574 | train_eval 2.4294 | val 2.4440 | gap -0.0146 | lr 5.82e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 842.2 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 210/1000 | train_now 2.4693 | train_eval 2.4406 | val 2.4637 | gap -0.0232 | lr 5.78e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 841.1 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 220/1000 | train_now 2.4701 | train_eval 2.4244 | val 2.4278 | gap -0.0034 | lr 5.74e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 816.6 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 230/1000 | train_now 2.4246 | train_eval 2.4115 | val 2.4310 | gap -0.0195 | lr 5.70e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 838.3 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 240/1000 | train_now 2.3884 | train_eval 2.3894 | val 2.4052 | gap -0.0158 | lr 5.65e-04 | params 4.77M | host_mem 17.5% | gpu_mem 79.4MB | 823.6 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 250/1000 | train_now 2.4112 | train_eval 2.3908 | val 2.3997 | gap -0.0089 | lr 5.60e-04 | params 4.77M | host_mem 17.5% | gpu_mem 79.4MB | 890.7 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 260/1000 | train_now 2.4471 | train_eval 2.3908 | val 2.4117 | gap -0.0209 | lr 5.54e-04 | params 4.77M | host_mem 17.5% | gpu_mem 79.4MB | 868.7 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 270/1000 | train_now 2.3639 | train_eval 2.3749 | val 2.4038 | gap -0.0289 | lr 5.49e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 839.3 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 280/1000 | train_now 2.3854 | train_eval 2.3687 | val 2.4065 | gap -0.0378 | lr 5.43e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 816.9 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 290/1000 | train_now 2.3696 | train_eval 2.3552 | val 2.3808 | gap -0.0255 | lr 5.36e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 818.3 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 300/1000 | train_now 2.3069 | train_eval 2.3203 | val 2.3582 | gap -0.0378 | lr 5.30e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 846.5 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 310/1000 | train_now 2.3637 | train_eval 2.3377 | val 2.3526 | gap -0.0148 | lr 5.23e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 841.5 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 320/1000 | train_now 2.3507 | train_eval 2.2987 | val 2.3310 | gap -0.0323 | lr 5.16e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 848.6 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 330/1000 | train_now 2.3567 | train_eval 2.2950 | val 2.3382 | gap -0.0432 | lr 5.08e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 837.6 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 340/1000 | train_now 2.3228 | train_eval 2.2925 | val 2.3186 | gap -0.0262 | lr 5.01e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 818.4 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 350/1000 | train_now 2.3538 | train_eval 2.2698 | val 2.3218 | gap -0.0520 | lr 4.93e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 842.7 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 360/1000 | train_now 2.2974 | train_eval 2.2673 | val 2.3084 | gap -0.0411 | lr 4.85e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 815.8 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 370/1000 | train_now 2.2849 | train_eval 2.2738 | val 2.3227 | gap -0.0488 | lr 4.76e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 847.9 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 380/1000 | train_now 2.2352 | train_eval 2.2372 | val 2.2790 | gap -0.0419 | lr 4.68e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 814.0 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 390/1000 | train_now 2.4212 | train_eval 2.2611 | val 2.2722 | gap -0.0111 | lr 4.59e-04 | params 4.77M | host_mem 17.3% | gpu_mem 79.4MB | 840.0 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 400/1000 | train_now 2.2886 | train_eval 2.2189 | val 2.2657 | gap -0.0468 | lr 4.50e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 854.6 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 410/1000 | train_now 2.2280 | train_eval 2.2229 | val 2.2564 | gap -0.0335 | lr 4.41e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 863.3 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 420/1000 | train_now 2.2742 | train_eval 2.2324 | val 2.2582 | gap -0.0258 | lr 4.32e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 1028.9 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 430/1000 | train_now 2.2971 | train_eval 2.2064 | val 2.2624 | gap -0.0560 | lr 4.22e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 819.2 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 440/1000 | train_now 2.2623 | train_eval 2.1958 | val 2.2431 | gap -0.0473 | lr 4.12e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 810.3 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 450/1000 | train_now 2.2019 | train_eval 2.1994 | val 2.2335 | gap -0.0341 | lr 4.03e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 835.2 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 460/1000 | train_now 2.2336 | train_eval 2.1836 | val 2.2247 | gap -0.0411 | lr 3.93e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 836.5 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 470/1000 | train_now 2.2306 | train_eval 2.1781 | val 2.2086 | gap -0.0305 | lr 3.83e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 832.9 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 480/1000 | train_now 2.2339 | train_eval 2.1595 | val 2.1996 | gap -0.0401 | lr 3.73e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 834.1 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 490/1000 | train_now 2.2123 | train_eval 2.1615 | val 2.2083 | gap -0.0467 | lr 3.62e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 833.2 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 500/1000 | train_now 2.2339 | train_eval 2.1385 | val 2.1877 | gap -0.0492 | lr 3.52e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 815.3 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 510/1000 | train_now 2.1425 | train_eval 2.1447 | val 2.1852 | gap -0.0405 | lr 3.42e-04 | params 4.77M | host_mem 17.3% | gpu_mem 79.4MB | 842.9 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 520/1000 | train_now 2.2809 | train_eval 2.1516 | val 2.1804 | gap -0.0288 | lr 3.31e-04 | params 4.77M | host_mem 17.3% | gpu_mem 79.4MB | 830.4 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 530/1000 | train_now 2.1947 | train_eval 2.1343 | val 2.1928 | gap -0.0585 | lr 3.21e-04 | params 4.77M | host_mem 17.3% | gpu_mem 79.4MB | 837.5 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 540/1000 | train_now 2.1793 | train_eval 2.1227 | val 2.1763 | gap -0.0536 | lr 3.10e-04 | params 4.77M | host_mem 17.3% | gpu_mem 79.4MB | 809.7 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 550/1000 | train_now 2.1223 | train_eval 2.0993 | val 2.1486 | gap -0.0493 | lr 3.00e-04 | params 4.77M | host_mem 17.3% | gpu_mem 79.4MB | 847.8 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 560/1000 | train_now 2.1664 | train_eval 2.1100 | val 2.1535 | gap -0.0435 | lr 2.90e-04 | params 4.77M | host_mem 17.2% | gpu_mem 79.4MB | 878.5 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 570/1000 | train_now 2.1095 | train_eval 2.1046 | val 2.1581 | gap -0.0535 | lr 2.79e-04 | params 4.77M | host_mem 17.3% | gpu_mem 79.4MB | 824.6 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 580/1000 | train_now 2.1459 | train_eval 2.0931 | val 2.1324 | gap -0.0393 | lr 2.69e-04 | params 4.77M | host_mem 17.3% | gpu_mem 79.4MB | 817.3 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 590/1000 | train_now 2.1033 | train_eval 2.0835 | val 2.1285 | gap -0.0450 | lr 2.58e-04 | params 4.77M | host_mem 17.2% | gpu_mem 79.4MB | 835.4 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 600/1000 | train_now 2.1300 | train_eval 2.0724 | val 2.1071 | gap -0.0347 | lr 2.48e-04 | params 4.77M | host_mem 17.2% | gpu_mem 79.4MB | 835.8 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 610/1000 | train_now 2.1469 | train_eval 2.0602 | val 2.1429 | gap -0.0827 | lr 2.38e-04 | params 4.77M | host_mem 17.2% | gpu_mem 79.4MB | 836.9 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 620/1000 | train_now 2.0943 | train_eval 2.0565 | val 2.1102 | gap -0.0536 | lr 2.27e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 808.7 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 630/1000 | train_now 2.1614 | train_eval 2.0646 | val 2.1097 | gap -0.0451 | lr 2.17e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 805.8 ms/it
