[exp13_head4_emb256_bs16_it1000_do0.2] iter 0/1000 | train_now 4.2263 | train_eval 4.1727 | val 4.1750 | gap -0.0023 | lr 5.94e-06 | params 4.77M | host_mem 17.0% | gpu_mem 98.5MB | 624.4 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 10/1000 | train_now 3.4214 | train_eval 3.4252 | val 3.4484 | gap -0.0232 | lr 6.53e-05 | params 4.77M | host_mem 16.9% | gpu_mem 98.5MB | 810.4 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 20/1000 | train_now 3.1462 | train_eval 3.1016 | val 3.1221 | gap -0.0206 | lr 1.25e-04 | params 4.77M | host_mem 16.8% | gpu_mem 98.5MB | 821.0 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 30/1000 | train_now 2.8922 | train_eval 2.8649 | val 2.8941 | gap -0.0292 | lr 1.84e-04 | params 4.77M | host_mem 16.8% | gpu_mem 98.5MB | 822.8 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 40/1000 | train_now 2.8020 | train_eval 2.7358 | val 2.7507 | gap -0.0149 | lr 2.44e-04 | params 4.77M | host_mem 16.9% | gpu_mem 98.5MB | 984.8 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 50/1000 | train_now 2.6749 | train_eval 2.6764 | val 2.6582 | gap 0.0182 | lr 3.03e-04 | params 4.77M | host_mem 17.1% | gpu_mem 98.5MB | 1170.0 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 60/1000 | train_now 2.6834 | train_eval 2.6287 | val 2.6148 | gap 0.0139 | lr 3.62e-04 | params 4.77M | host_mem 17.1% | gpu_mem 98.5MB | 832.7 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 70/1000 | train_now 2.6395 | train_eval 2.5809 | val 2.6104 | gap -0.0294 | lr 4.22e-04 | params 4.77M | host_mem 17.1% | gpu_mem 98.5MB | 822.8 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 80/1000 | train_now 2.5971 | train_eval 2.5659 | val 2.5620 | gap 0.0039 | lr 4.81e-04 | params 4.77M | host_mem 17.2% | gpu_mem 98.5MB | 841.7 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 90/1000 | train_now 2.6071 | train_eval 2.5640 | val 2.5487 | gap 0.0153 | lr 5.41e-04 | params 4.77M | host_mem 17.2% | gpu_mem 98.5MB | 860.3 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 100/1000 | train_now 2.5556 | train_eval 2.5432 | val 2.5500 | gap -0.0069 | lr 6.00e-04 | params 4.77M | host_mem 17.2% | gpu_mem 98.5MB | 857.7 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 110/1000 | train_now 2.5437 | train_eval 2.5367 | val 2.5382 | gap -0.0015 | lr 6.00e-04 | params 4.77M | host_mem 17.2% | gpu_mem 98.5MB | 1017.9 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 120/1000 | train_now 2.5572 | train_eval 2.5133 | val 2.5143 | gap -0.0009 | lr 5.99e-04 | params 4.77M | host_mem 17.3% | gpu_mem 98.5MB | 1256.5 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 130/1000 | train_now 2.5662 | train_eval 2.5006 | val 2.5074 | gap -0.0068 | lr 5.98e-04 | params 4.77M | host_mem 17.3% | gpu_mem 98.5MB | 1164.9 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 140/1000 | train_now 2.5248 | train_eval 2.4778 | val 2.4931 | gap -0.0153 | lr 5.97e-04 | params 4.77M | host_mem 17.5% | gpu_mem 98.5MB | 1074.2 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 150/1000 | train_now 2.4608 | train_eval 2.4965 | val 2.4786 | gap 0.0179 | lr 5.95e-04 | params 4.77M | host_mem 17.6% | gpu_mem 98.5MB | 838.2 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 160/1000 | train_now 2.4963 | train_eval 2.4942 | val 2.4699 | gap 0.0243 | lr 5.93e-04 | params 4.77M | host_mem 17.5% | gpu_mem 98.5MB | 834.4 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 170/1000 | train_now 2.4532 | train_eval 2.4750 | val 2.4920 | gap -0.0169 | lr 5.91e-04 | params 4.77M | host_mem 17.5% | gpu_mem 79.4MB | 844.0 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 180/1000 | train_now 2.5440 | train_eval 2.4688 | val 2.4820 | gap -0.0132 | lr 5.88e-04 | params 4.77M | host_mem 17.5% | gpu_mem 79.4MB | 811.8 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 190/1000 | train_now 2.4775 | train_eval 2.4513 | val 2.4709 | gap -0.0196 | lr 5.85e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 813.1 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 200/1000 | train_now 2.4927 | train_eval 2.4556 | val 2.4598 | gap -0.0042 | lr 5.82e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 812.1 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 210/1000 | train_now 2.4957 | train_eval 2.4696 | val 2.4938 | gap -0.0242 | lr 5.78e-04 | params 4.77M | host_mem 17.5% | gpu_mem 79.4MB | 842.1 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 220/1000 | train_now 2.4982 | train_eval 2.4450 | val 2.4525 | gap -0.0075 | lr 5.74e-04 | params 4.77M | host_mem 17.7% | gpu_mem 79.4MB | 833.5 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 230/1000 | train_now 2.4586 | train_eval 2.4338 | val 2.4567 | gap -0.0229 | lr 5.70e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 862.1 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 240/1000 | train_now 2.4221 | train_eval 2.4185 | val 2.4312 | gap -0.0127 | lr 5.65e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 835.6 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 250/1000 | train_now 2.4452 | train_eval 2.4238 | val 2.4353 | gap -0.0115 | lr 5.60e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 872.0 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 260/1000 | train_now 2.4808 | train_eval 2.4185 | val 2.4318 | gap -0.0133 | lr 5.54e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 820.4 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 270/1000 | train_now 2.4103 | train_eval 2.4015 | val 2.4248 | gap -0.0234 | lr 5.49e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 820.6 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 280/1000 | train_now 2.4095 | train_eval 2.4016 | val 2.4308 | gap -0.0292 | lr 5.43e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 841.4 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 290/1000 | train_now 2.4169 | train_eval 2.4030 | val 2.4333 | gap -0.0302 | lr 5.36e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 821.1 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 300/1000 | train_now 2.3654 | train_eval 2.3709 | val 2.4053 | gap -0.0344 | lr 5.30e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 818.5 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 310/1000 | train_now 2.4315 | train_eval 2.3882 | val 2.3993 | gap -0.0111 | lr 5.23e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 849.3 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 320/1000 | train_now 2.4139 | train_eval 2.3577 | val 2.3813 | gap -0.0235 | lr 5.16e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 843.6 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 330/1000 | train_now 2.4182 | train_eval 2.3452 | val 2.3752 | gap -0.0300 | lr 5.08e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 841.6 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 340/1000 | train_now 2.3877 | train_eval 2.3469 | val 2.3606 | gap -0.0136 | lr 5.01e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 854.1 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 350/1000 | train_now 2.4047 | train_eval 2.3196 | val 2.3604 | gap -0.0408 | lr 4.93e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 842.5 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 360/1000 | train_now 2.3669 | train_eval 2.3189 | val 2.3505 | gap -0.0316 | lr 4.85e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 842.8 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 370/1000 | train_now 2.3409 | train_eval 2.3161 | val 2.3572 | gap -0.0411 | lr 4.76e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 865.7 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 380/1000 | train_now 2.3181 | train_eval 2.2896 | val 2.3241 | gap -0.0345 | lr 4.68e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 831.9 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 390/1000 | train_now 2.4771 | train_eval 2.3063 | val 2.3078 | gap -0.0015 | lr 4.59e-04 | params 4.77M | host_mem 17.7% | gpu_mem 79.4MB | 888.3 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 400/1000 | train_now 2.3437 | train_eval 2.2623 | val 2.2992 | gap -0.0369 | lr 4.50e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 857.8 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 410/1000 | train_now 2.3052 | train_eval 2.2685 | val 2.2980 | gap -0.0295 | lr 4.41e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 838.1 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 420/1000 | train_now 2.3230 | train_eval 2.2701 | val 2.2919 | gap -0.0218 | lr 4.32e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 838.4 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 430/1000 | train_now 2.3636 | train_eval 2.2511 | val 2.2970 | gap -0.0460 | lr 4.22e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 837.0 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 440/1000 | train_now 2.3469 | train_eval 2.2558 | val 2.2978 | gap -0.0419 | lr 4.12e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 812.4 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 450/1000 | train_now 2.2655 | train_eval 2.2556 | val 2.2886 | gap -0.0331 | lr 4.03e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 813.2 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 460/1000 | train_now 2.3191 | train_eval 2.2366 | val 2.2703 | gap -0.0337 | lr 3.93e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 836.0 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 470/1000 | train_now 2.3022 | train_eval 2.2333 | val 2.2542 | gap -0.0209 | lr 3.83e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 844.8 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 480/1000 | train_now 2.3015 | train_eval 2.2152 | val 2.2461 | gap -0.0309 | lr 3.73e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 841.4 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 490/1000 | train_now 2.2837 | train_eval 2.2186 | val 2.2552 | gap -0.0366 | lr 3.62e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 837.0 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 500/1000 | train_now 2.3193 | train_eval 2.2014 | val 2.2371 | gap -0.0357 | lr 3.52e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 810.0 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 510/1000 | train_now 2.2272 | train_eval 2.2066 | val 2.2421 | gap -0.0355 | lr 3.42e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 839.2 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 520/1000 | train_now 2.3542 | train_eval 2.2095 | val 2.2308 | gap -0.0213 | lr 3.31e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 832.1 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 530/1000 | train_now 2.2701 | train_eval 2.1946 | val 2.2380 | gap -0.0433 | lr 3.21e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 867.4 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 540/1000 | train_now 2.2417 | train_eval 2.1908 | val 2.2325 | gap -0.0417 | lr 3.10e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 826.8 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 550/1000 | train_now 2.2082 | train_eval 2.1720 | val 2.2089 | gap -0.0369 | lr 3.00e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 815.7 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 560/1000 | train_now 2.2701 | train_eval 2.1841 | val 2.2105 | gap -0.0263 | lr 2.90e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 836.7 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 570/1000 | train_now 2.2072 | train_eval 2.1808 | val 2.2139 | gap -0.0331 | lr 2.79e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 812.7 ms/it
