[exp14_head4_emb256_bs16_it2000_do0.1] iter 0/2000 | train_now 4.2344 | train_eval 4.1708 | val 4.1731 | gap -0.0023 | lr 5.94e-06 | params 4.77M | host_mem 17.5% | gpu_mem 98.5MB | 605.8 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 10/2000 | train_now 3.3925 | train_eval 3.4032 | val 3.4245 | gap -0.0213 | lr 6.53e-05 | params 4.77M | host_mem 17.5% | gpu_mem 98.5MB | 807.8 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 20/2000 | train_now 3.0836 | train_eval 3.0552 | val 3.0748 | gap -0.0196 | lr 1.25e-04 | params 4.77M | host_mem 17.5% | gpu_mem 98.5MB | 820.4 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 30/2000 | train_now 2.8490 | train_eval 2.8407 | val 2.8625 | gap -0.0218 | lr 1.84e-04 | params 4.77M | host_mem 17.5% | gpu_mem 98.5MB | 827.8 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 40/2000 | train_now 2.7754 | train_eval 2.7178 | val 2.7370 | gap -0.0192 | lr 2.44e-04 | params 4.77M | host_mem 17.5% | gpu_mem 98.5MB | 826.1 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 50/2000 | train_now 2.6474 | train_eval 2.6626 | val 2.6454 | gap 0.0172 | lr 3.03e-04 | params 4.77M | host_mem 17.6% | gpu_mem 98.5MB | 822.2 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 60/2000 | train_now 2.6541 | train_eval 2.6189 | val 2.6044 | gap 0.0144 | lr 3.62e-04 | params 4.77M | host_mem 17.6% | gpu_mem 98.5MB | 844.7 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 70/2000 | train_now 2.6160 | train_eval 2.5688 | val 2.5958 | gap -0.0270 | lr 4.22e-04 | params 4.77M | host_mem 17.6% | gpu_mem 98.5MB | 844.0 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 80/2000 | train_now 2.5752 | train_eval 2.5570 | val 2.5547 | gap 0.0024 | lr 4.81e-04 | params 4.77M | host_mem 17.6% | gpu_mem 98.5MB | 858.2 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 90/2000 | train_now 2.5986 | train_eval 2.5536 | val 2.5431 | gap 0.0105 | lr 5.41e-04 | params 4.77M | host_mem 17.6% | gpu_mem 98.5MB | 871.0 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 100/2000 | train_now 2.5322 | train_eval 2.5337 | val 2.5412 | gap -0.0075 | lr 6.00e-04 | params 4.77M | host_mem 17.6% | gpu_mem 98.5MB | 822.1 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 110/2000 | train_now 2.5304 | train_eval 2.5237 | val 2.5282 | gap -0.0045 | lr 6.00e-04 | params 4.77M | host_mem 17.6% | gpu_mem 98.5MB | 824.9 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 120/2000 | train_now 2.5522 | train_eval 2.5000 | val 2.5022 | gap -0.0022 | lr 6.00e-04 | params 4.77M | host_mem 17.6% | gpu_mem 98.5MB | 826.8 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 130/2000 | train_now 2.5476 | train_eval 2.4879 | val 2.4969 | gap -0.0091 | lr 6.00e-04 | params 4.77M | host_mem 17.7% | gpu_mem 98.5MB | 826.6 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 140/2000 | train_now 2.4935 | train_eval 2.4644 | val 2.4863 | gap -0.0219 | lr 5.99e-04 | params 4.77M | host_mem 17.7% | gpu_mem 98.5MB | 831.0 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 150/2000 | train_now 2.4298 | train_eval 2.4861 | val 2.4729 | gap 0.0132 | lr 5.99e-04 | params 4.77M | host_mem 17.5% | gpu_mem 98.5MB | 828.6 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 160/2000 | train_now 2.4826 | train_eval 2.4724 | val 2.4628 | gap 0.0097 | lr 5.99e-04 | params 4.77M | host_mem 17.5% | gpu_mem 98.5MB | 829.4 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 170/2000 | train_now 2.4203 | train_eval 2.4541 | val 2.4776 | gap -0.0235 | lr 5.98e-04 | params 4.77M | host_mem 17.5% | gpu_mem 98.5MB | 830.1 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 180/2000 | train_now 2.5240 | train_eval 2.4526 | val 2.4661 | gap -0.0135 | lr 5.97e-04 | params 4.77M | host_mem 17.5% | gpu_mem 98.5MB | 813.3 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 190/2000 | train_now 2.4520 | train_eval 2.4328 | val 2.4487 | gap -0.0159 | lr 5.97e-04 | params 4.77M | host_mem 17.5% | gpu_mem 98.5MB | 812.1 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 200/2000 | train_now 2.4571 | train_eval 2.4298 | val 2.4443 | gap -0.0146 | lr 5.96e-04 | params 4.77M | host_mem 17.5% | gpu_mem 98.5MB | 833.4 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 210/2000 | train_now 2.4703 | train_eval 2.4419 | val 2.4649 | gap -0.0230 | lr 5.95e-04 | params 4.77M | host_mem 17.5% | gpu_mem 98.5MB | 842.7 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 220/2000 | train_now 2.4708 | train_eval 2.4259 | val 2.4292 | gap -0.0033 | lr 5.94e-04 | params 4.77M | host_mem 17.6% | gpu_mem 98.5MB | 830.1 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 230/2000 | train_now 2.4263 | train_eval 2.4138 | val 2.4329 | gap -0.0191 | lr 5.93e-04 | params 4.77M | host_mem 17.7% | gpu_mem 98.5MB | 868.7 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 240/2000 | train_now 2.3894 | train_eval 2.3905 | val 2.4060 | gap -0.0154 | lr 5.92e-04 | params 4.77M | host_mem 17.7% | gpu_mem 98.5MB | 847.3 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 250/2000 | train_now 2.4146 | train_eval 2.3916 | val 2.4003 | gap -0.0087 | lr 5.91e-04 | params 4.77M | host_mem 17.6% | gpu_mem 98.5MB | 855.5 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 260/2000 | train_now 2.4480 | train_eval 2.3929 | val 2.4136 | gap -0.0208 | lr 5.90e-04 | params 4.77M | host_mem 17.6% | gpu_mem 98.5MB | 843.5 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 270/2000 | train_now 2.3665 | train_eval 2.3778 | val 2.4060 | gap -0.0282 | lr 5.88e-04 | params 4.77M | host_mem 17.6% | gpu_mem 98.5MB | 820.6 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 280/2000 | train_now 2.3869 | train_eval 2.3725 | val 2.4108 | gap -0.0384 | lr 5.87e-04 | params 4.77M | host_mem 17.6% | gpu_mem 98.5MB | 830.3 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 290/2000 | train_now 2.3701 | train_eval 2.3555 | val 2.3808 | gap -0.0254 | lr 5.85e-04 | params 4.77M | host_mem 17.6% | gpu_mem 98.5MB | 820.3 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 300/2000 | train_now 2.3062 | train_eval 2.3222 | val 2.3603 | gap -0.0382 | lr 5.84e-04 | params 4.77M | host_mem 17.6% | gpu_mem 98.5MB | 845.0 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 310/2000 | train_now 2.3659 | train_eval 2.3396 | val 2.3539 | gap -0.0144 | lr 5.82e-04 | params 4.77M | host_mem 17.6% | gpu_mem 98.5MB | 842.4 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 320/2000 | train_now 2.3493 | train_eval 2.2989 | val 2.3310 | gap -0.0321 | lr 5.80e-04 | params 4.77M | host_mem 17.6% | gpu_mem 98.5MB | 845.2 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 330/2000 | train_now 2.3583 | train_eval 2.2969 | val 2.3416 | gap -0.0447 | lr 5.79e-04 | params 4.77M | host_mem 17.6% | gpu_mem 98.5MB | 856.9 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 340/2000 | train_now 2.3212 | train_eval 2.2887 | val 2.3164 | gap -0.0277 | lr 5.77e-04 | params 4.77M | host_mem 17.6% | gpu_mem 98.5MB | 823.8 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 350/2000 | train_now 2.3575 | train_eval 2.2730 | val 2.3242 | gap -0.0512 | lr 5.75e-04 | params 4.77M | host_mem 17.6% | gpu_mem 98.5MB | 852.2 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 360/2000 | train_now 2.3019 | train_eval 2.2791 | val 2.3200 | gap -0.0409 | lr 5.73e-04 | params 4.77M | host_mem 17.6% | gpu_mem 98.5MB | 820.1 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 370/2000 | train_now 2.2983 | train_eval 2.2756 | val 2.3270 | gap -0.0514 | lr 5.71e-04 | params 4.77M | host_mem 17.7% | gpu_mem 98.5MB | 835.2 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 380/2000 | train_now 2.2373 | train_eval 2.2417 | val 2.2790 | gap -0.0373 | lr 5.68e-04 | params 4.77M | host_mem 17.7% | gpu_mem 98.5MB | 831.0 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 390/2000 | train_now 2.4211 | train_eval 2.2660 | val 2.2787 | gap -0.0126 | lr 5.66e-04 | params 4.77M | host_mem 17.7% | gpu_mem 98.5MB | 882.9 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 400/2000 | train_now 2.2815 | train_eval 2.2188 | val 2.2686 | gap -0.0498 | lr 5.64e-04 | params 4.77M | host_mem 17.8% | gpu_mem 98.5MB | 860.9 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 410/2000 | train_now 2.2313 | train_eval 2.2194 | val 2.2554 | gap -0.0361 | lr 5.61e-04 | params 4.77M | host_mem 17.7% | gpu_mem 98.5MB | 851.4 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 420/2000 | train_now 2.2784 | train_eval 2.2267 | val 2.2541 | gap -0.0274 | lr 5.59e-04 | params 4.77M | host_mem 17.7% | gpu_mem 98.5MB | 844.0 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 430/2000 | train_now 2.3017 | train_eval 2.2012 | val 2.2590 | gap -0.0578 | lr 5.56e-04 | params 4.77M | host_mem 17.7% | gpu_mem 98.5MB | 837.6 ms/it
[exp14_head4_emb256_bs16_it2000_do0.1] iter 440/2000 | train_now 2.2673 | train_eval 2.1926 | val 2.2441 | gap -0.0514 | lr 5.54e-04 | params 4.77M | host_mem 17.7% | gpu_mem 98.5MB | 814.5 ms/it
