[exp15_head4_emb256_bs16_it2000_do0.2] iter 0/2000 | train_now 4.2263 | train_eval 4.1727 | val 4.1750 | gap -0.0023 | lr 5.94e-06 | params 4.77M | host_mem 17.7% | gpu_mem 117.6MB | 612.1 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 10/2000 | train_now 3.4214 | train_eval 3.4252 | val 3.4484 | gap -0.0232 | lr 6.53e-05 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 832.5 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 20/2000 | train_now 3.1462 | train_eval 3.1016 | val 3.1221 | gap -0.0206 | lr 1.25e-04 | params 4.77M | host_mem 17.7% | gpu_mem 117.6MB | 862.0 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 30/2000 | train_now 2.8922 | train_eval 2.8649 | val 2.8941 | gap -0.0292 | lr 1.84e-04 | params 4.77M | host_mem 17.5% | gpu_mem 117.6MB | 842.1 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 40/2000 | train_now 2.8020 | train_eval 2.7358 | val 2.7507 | gap -0.0149 | lr 2.44e-04 | params 4.77M | host_mem 17.5% | gpu_mem 117.6MB | 825.5 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 50/2000 | train_now 2.6749 | train_eval 2.6764 | val 2.6582 | gap 0.0182 | lr 3.03e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 825.1 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 60/2000 | train_now 2.6834 | train_eval 2.6287 | val 2.6148 | gap 0.0139 | lr 3.62e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 822.6 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 70/2000 | train_now 2.6395 | train_eval 2.5809 | val 2.6104 | gap -0.0294 | lr 4.22e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 824.3 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 80/2000 | train_now 2.5971 | train_eval 2.5659 | val 2.5620 | gap 0.0039 | lr 4.81e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 826.9 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 90/2000 | train_now 2.6071 | train_eval 2.5640 | val 2.5487 | gap 0.0153 | lr 5.41e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 824.6 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 100/2000 | train_now 2.5556 | train_eval 2.5432 | val 2.5500 | gap -0.0069 | lr 6.00e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 827.8 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 110/2000 | train_now 2.5439 | train_eval 2.5367 | val 2.5381 | gap -0.0015 | lr 6.00e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 803.8 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 120/2000 | train_now 2.5573 | train_eval 2.5134 | val 2.5143 | gap -0.0009 | lr 6.00e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 824.5 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 130/2000 | train_now 2.5663 | train_eval 2.5006 | val 2.5073 | gap -0.0067 | lr 6.00e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 830.2 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 140/2000 | train_now 2.5249 | train_eval 2.4778 | val 2.4932 | gap -0.0153 | lr 5.99e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 830.5 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 150/2000 | train_now 2.4607 | train_eval 2.4969 | val 2.4789 | gap 0.0180 | lr 5.99e-04 | params 4.77M | host_mem 17.7% | gpu_mem 117.6MB | 873.6 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 160/2000 | train_now 2.4963 | train_eval 2.4941 | val 2.4700 | gap 0.0241 | lr 5.99e-04 | params 4.77M | host_mem 17.7% | gpu_mem 117.6MB | 868.2 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 170/2000 | train_now 2.4539 | train_eval 2.4757 | val 2.4926 | gap -0.0169 | lr 5.98e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 879.1 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 180/2000 | train_now 2.5451 | train_eval 2.4700 | val 2.4828 | gap -0.0127 | lr 5.97e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 816.8 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 190/2000 | train_now 2.4779 | train_eval 2.4515 | val 2.4708 | gap -0.0193 | lr 5.97e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 810.9 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 200/2000 | train_now 2.4924 | train_eval 2.4553 | val 2.4596 | gap -0.0043 | lr 5.96e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 807.2 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 210/2000 | train_now 2.4971 | train_eval 2.4699 | val 2.4935 | gap -0.0236 | lr 5.95e-04 | params 4.77M | host_mem 17.5% | gpu_mem 117.6MB | 837.0 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 220/2000 | train_now 2.4988 | train_eval 2.4451 | val 2.4521 | gap -0.0070 | lr 5.94e-04 | params 4.77M | host_mem 17.5% | gpu_mem 117.6MB | 814.7 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 230/2000 | train_now 2.4594 | train_eval 2.4344 | val 2.4575 | gap -0.0231 | lr 5.93e-04 | params 4.77M | host_mem 17.5% | gpu_mem 117.6MB | 842.9 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 240/2000 | train_now 2.4232 | train_eval 2.4188 | val 2.4319 | gap -0.0131 | lr 5.92e-04 | params 4.77M | host_mem 17.5% | gpu_mem 117.6MB | 815.2 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 250/2000 | train_now 2.4466 | train_eval 2.4254 | val 2.4369 | gap -0.0115 | lr 5.91e-04 | params 4.77M | host_mem 17.5% | gpu_mem 117.6MB | 843.8 ms/it
