[exp16_head8_emb128_bs8_it1000_do0.1] iter 0/1000 | train_now 4.1936 | train_eval 4.1828 | val 4.1793 | gap 0.0035 | lr 5.94e-06 | params 1.21M | host_mem 17.5% | gpu_mem 74.7MB | 299.7 ms/it
[exp16_head8_emb128_bs8_it1000_do0.1] iter 10/1000 | train_now 3.8003 | train_eval 3.7766 | val 3.7851 | gap -0.0085 | lr 6.53e-05 | params 1.21M | host_mem 17.5% | gpu_mem 74.7MB | 433.4 ms/it
[exp16_head8_emb128_bs8_it1000_do0.1] iter 20/1000 | train_now 3.6549 | train_eval 3.6227 | val 3.6245 | gap -0.0018 | lr 1.25e-04 | params 1.21M | host_mem 17.5% | gpu_mem 74.7MB | 422.1 ms/it
[exp16_head8_emb128_bs8_it1000_do0.1] iter 30/1000 | train_now 3.4193 | train_eval 3.3861 | val 3.4001 | gap -0.0140 | lr 1.84e-04 | params 1.21M | host_mem 17.5% | gpu_mem 74.7MB | 443.8 ms/it
[exp16_head8_emb128_bs8_it1000_do0.1] iter 40/1000 | train_now 3.2203 | train_eval 3.2082 | val 3.2297 | gap -0.0214 | lr 2.44e-04 | params 1.21M | host_mem 17.5% | gpu_mem 74.7MB | 420.5 ms/it
[exp16_head8_emb128_bs8_it1000_do0.1] iter 50/1000 | train_now 3.0699 | train_eval 3.0479 | val 3.0783 | gap -0.0304 | lr 3.03e-04 | params 1.21M | host_mem 17.5% | gpu_mem 74.7MB | 422.6 ms/it
[exp16_head8_emb128_bs8_it1000_do0.1] iter 60/1000 | train_now 2.9186 | train_eval 2.9283 | val 2.9546 | gap -0.0263 | lr 3.62e-04 | params 1.21M | host_mem 17.5% | gpu_mem 74.7MB | 463.7 ms/it
[exp16_head8_emb128_bs8_it1000_do0.1] iter 70/1000 | train_now 2.9239 | train_eval 2.8274 | val 2.8561 | gap -0.0287 | lr 4.22e-04 | params 1.21M | host_mem 17.5% | gpu_mem 74.7MB | 427.8 ms/it
[exp16_head8_emb128_bs8_it1000_do0.1] iter 80/1000 | train_now 2.8119 | train_eval 2.7951 | val 2.7952 | gap -0.0001 | lr 4.81e-04 | params 1.21M | host_mem 17.5% | gpu_mem 74.7MB | 435.2 ms/it
[exp16_head8_emb128_bs8_it1000_do0.1] iter 90/1000 | train_now 2.6463 | train_eval 2.7157 | val 2.7378 | gap -0.0221 | lr 5.41e-04 | params 1.21M | host_mem 17.5% | gpu_mem 74.7MB | 425.4 ms/it
[exp16_head8_emb128_bs8_it1000_do0.1] iter 100/1000 | train_now 2.6750 | train_eval 2.6746 | val 2.6959 | gap -0.0213 | lr 6.00e-04 | params 1.21M | host_mem 17.5% | gpu_mem 74.7MB | 438.3 ms/it
[exp16_head8_emb128_bs8_it1000_do0.1] iter 110/1000 | train_now 2.6228 | train_eval 2.6447 | val 2.6388 | gap 0.0059 | lr 6.00e-04 | params 1.21M | host_mem 17.5% | gpu_mem 74.7MB | 437.4 ms/it
[exp16_head8_emb128_bs8_it1000_do0.1] iter 120/1000 | train_now 2.6274 | train_eval 2.6128 | val 2.6148 | gap -0.0020 | lr 5.99e-04 | params 1.21M | host_mem 17.5% | gpu_mem 74.7MB | 434.3 ms/it
[exp16_head8_emb128_bs8_it1000_do0.1] iter 130/1000 | train_now 2.5892 | train_eval 2.6113 | val 2.6103 | gap 0.0010 | lr 5.98e-04 | params 1.21M | host_mem 17.5% | gpu_mem 74.7MB | 444.1 ms/it
[exp16_head8_emb128_bs8_it1000_do0.1] iter 140/1000 | train_now 2.6038 | train_eval 2.5855 | val 2.5809 | gap 0.0046 | lr 5.97e-04 | params 1.21M | host_mem 17.5% | gpu_mem 74.7MB | 415.2 ms/it
[exp16_head8_emb128_bs8_it1000_do0.1] iter 150/1000 | train_now 2.6170 | train_eval 2.5778 | val 2.6030 | gap -0.0252 | lr 5.95e-04 | params 1.21M | host_mem 17.6% | gpu_mem 74.7MB | 509.3 ms/it
[exp16_head8_emb128_bs8_it1000_do0.1] iter 160/1000 | train_now 2.5622 | train_eval 2.5799 | val 2.5698 | gap 0.0101 | lr 5.93e-04 | params 1.21M | host_mem 17.6% | gpu_mem 74.7MB | 545.8 ms/it
[exp16_head8_emb128_bs8_it1000_do0.1] iter 170/1000 | train_now 2.5341 | train_eval 2.5808 | val 2.5550 | gap 0.0259 | lr 5.91e-04 | params 1.21M | host_mem 17.6% | gpu_mem 74.7MB | 551.7 ms/it
[exp16_head8_emb128_bs8_it1000_do0.1] iter 180/1000 | train_now 2.5657 | train_eval 2.5531 | val 2.5651 | gap -0.0120 | lr 5.88e-04 | params 1.21M | host_mem 17.6% | gpu_mem 74.7MB | 555.6 ms/it
[exp16_head8_emb128_bs8_it1000_do0.1] iter 190/1000 | train_now 2.5481 | train_eval 2.5638 | val 2.5616 | gap 0.0022 | lr 5.85e-04 | params 1.21M | host_mem 17.6% | gpu_mem 74.7MB | 615.1 ms/it
[exp16_head8_emb128_bs8_it1000_do0.1] iter 200/1000 | train_now 2.5907 | train_eval 2.5530 | val 2.5520 | gap 0.0009 | lr 5.82e-04 | params 1.21M | host_mem 17.6% | gpu_mem 74.7MB | 501.3 ms/it
[exp16_head8_emb128_bs8_it1000_do0.1] iter 210/1000 | train_now 2.5563 | train_eval 2.5301 | val 2.5430 | gap -0.0128 | lr 5.78e-04 | params 1.21M | host_mem 17.6% | gpu_mem 74.7MB | 452.5 ms/it
[exp16_head8_emb128_bs8_it1000_do0.1] iter 220/1000 | train_now 2.5943 | train_eval 2.5105 | val 2.5173 | gap -0.0068 | lr 5.74e-04 | params 1.21M | host_mem 17.6% | gpu_mem 74.7MB | 455.1 ms/it
[exp16_head8_emb128_bs8_it1000_do0.1] iter 230/1000 | train_now 2.5071 | train_eval 2.5189 | val 2.5271 | gap -0.0081 | lr 5.70e-04 | params 1.21M | host_mem 17.6% | gpu_mem 74.7MB | 441.6 ms/it
[exp16_head8_emb128_bs8_it1000_do0.1] iter 240/1000 | train_now 2.5154 | train_eval 2.5032 | val 2.5253 | gap -0.0221 | lr 5.65e-04 | params 1.21M | host_mem 17.6% | gpu_mem 74.7MB | 413.3 ms/it
[exp16_head8_emb128_bs8_it1000_do0.1] iter 250/1000 | train_now 2.5398 | train_eval 2.5119 | val 2.5128 | gap -0.0009 | lr 5.60e-04 | params 1.21M | host_mem 17.6% | gpu_mem 74.7MB | 408.6 ms/it
[exp16_head8_emb128_bs8_it1000_do0.1] iter 260/1000 | train_now 2.4619 | train_eval 2.5039 | val 2.5130 | gap -0.0091 | lr 5.54e-04 | params 1.21M | host_mem 17.6% | gpu_mem 74.7MB | 429.9 ms/it
