[exp17_head8_emb128_bs8_it1000_do0.2] iter 0/1000 | train_now 4.1934 | train_eval 4.1834 | val 4.1799 | gap 0.0035 | lr 5.94e-06 | params 1.21M | host_mem 17.5% | gpu_mem 79.5MB | 316.4 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 10/1000 | train_now 3.8258 | train_eval 3.7833 | val 3.7917 | gap -0.0084 | lr 6.53e-05 | params 1.21M | host_mem 17.4% | gpu_mem 79.5MB | 425.6 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 20/1000 | train_now 3.6818 | train_eval 3.6473 | val 3.6526 | gap -0.0054 | lr 1.25e-04 | params 1.21M | host_mem 17.4% | gpu_mem 79.5MB | 436.7 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 30/1000 | train_now 3.4652 | train_eval 3.4182 | val 3.4305 | gap -0.0123 | lr 1.84e-04 | params 1.21M | host_mem 17.4% | gpu_mem 79.5MB | 423.9 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 40/1000 | train_now 3.2601 | train_eval 3.2277 | val 3.2493 | gap -0.0216 | lr 2.44e-04 | params 1.21M | host_mem 17.4% | gpu_mem 79.5MB | 431.1 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 50/1000 | train_now 3.1058 | train_eval 3.0644 | val 3.0980 | gap -0.0336 | lr 3.03e-04 | params 1.21M | host_mem 17.4% | gpu_mem 79.5MB | 467.8 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 60/1000 | train_now 2.9529 | train_eval 2.9393 | val 2.9631 | gap -0.0238 | lr 3.62e-04 | params 1.21M | host_mem 17.4% | gpu_mem 79.5MB | 423.7 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 70/1000 | train_now 2.9548 | train_eval 2.8368 | val 2.8680 | gap -0.0311 | lr 4.22e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.5MB | 437.5 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 80/1000 | train_now 2.8347 | train_eval 2.8029 | val 2.8061 | gap -0.0032 | lr 4.81e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.5MB | 429.6 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 90/1000 | train_now 2.6684 | train_eval 2.7258 | val 2.7482 | gap -0.0224 | lr 5.41e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.5MB | 432.3 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 100/1000 | train_now 2.7017 | train_eval 2.6747 | val 2.6960 | gap -0.0213 | lr 6.00e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.5MB | 423.5 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 110/1000 | train_now 2.6330 | train_eval 2.6569 | val 2.6486 | gap 0.0083 | lr 6.00e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.5MB | 505.0 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 120/1000 | train_now 2.6368 | train_eval 2.6156 | val 2.6178 | gap -0.0022 | lr 5.99e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.5MB | 575.0 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 130/1000 | train_now 2.6126 | train_eval 2.6217 | val 2.6192 | gap 0.0026 | lr 5.98e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.5MB | 541.4 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 140/1000 | train_now 2.6127 | train_eval 2.5933 | val 2.5894 | gap 0.0039 | lr 5.97e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.5MB | 554.5 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 150/1000 | train_now 2.6433 | train_eval 2.5799 | val 2.6018 | gap -0.0219 | lr 5.95e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 647.3 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 160/1000 | train_now 2.5851 | train_eval 2.5846 | val 2.5763 | gap 0.0083 | lr 5.93e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 450.8 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 170/1000 | train_now 2.5598 | train_eval 2.5918 | val 2.5652 | gap 0.0266 | lr 5.91e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 430.0 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 180/1000 | train_now 2.5941 | train_eval 2.5600 | val 2.5718 | gap -0.0118 | lr 5.88e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 434.3 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 190/1000 | train_now 2.5638 | train_eval 2.5699 | val 2.5663 | gap 0.0036 | lr 5.85e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 411.3 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 200/1000 | train_now 2.6137 | train_eval 2.5615 | val 2.5560 | gap 0.0055 | lr 5.82e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 436.9 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 210/1000 | train_now 2.5749 | train_eval 2.5389 | val 2.5482 | gap -0.0092 | lr 5.78e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 424.0 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 220/1000 | train_now 2.6042 | train_eval 2.5193 | val 2.5267 | gap -0.0074 | lr 5.74e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 444.6 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 230/1000 | train_now 2.5220 | train_eval 2.5292 | val 2.5400 | gap -0.0108 | lr 5.70e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 431.1 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 240/1000 | train_now 2.5428 | train_eval 2.5197 | val 2.5441 | gap -0.0244 | lr 5.65e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 409.3 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 250/1000 | train_now 2.5733 | train_eval 2.5237 | val 2.5267 | gap -0.0030 | lr 5.60e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 432.4 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 260/1000 | train_now 2.4841 | train_eval 2.5089 | val 2.5178 | gap -0.0089 | lr 5.54e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 422.4 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 270/1000 | train_now 2.5274 | train_eval 2.5243 | val 2.5282 | gap -0.0039 | lr 5.49e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 456.3 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 280/1000 | train_now 2.5035 | train_eval 2.5019 | val 2.5084 | gap -0.0065 | lr 5.43e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 408.8 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 290/1000 | train_now 2.5691 | train_eval 2.5030 | val 2.5212 | gap -0.0182 | lr 5.36e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 428.1 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 300/1000 | train_now 2.5836 | train_eval 2.5069 | val 2.5195 | gap -0.0126 | lr 5.30e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 428.3 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 310/1000 | train_now 2.5312 | train_eval 2.5032 | val 2.5148 | gap -0.0116 | lr 5.23e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 416.4 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 320/1000 | train_now 2.5391 | train_eval 2.4747 | val 2.4973 | gap -0.0226 | lr 5.16e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 431.3 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 330/1000 | train_now 2.4801 | train_eval 2.5180 | val 2.4923 | gap 0.0257 | lr 5.08e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 427.0 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 340/1000 | train_now 2.4897 | train_eval 2.5046 | val 2.4954 | gap 0.0092 | lr 5.01e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 433.2 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 350/1000 | train_now 2.5808 | train_eval 2.4797 | val 2.4816 | gap -0.0019 | lr 4.93e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 428.4 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 360/1000 | train_now 2.5498 | train_eval 2.4726 | val 2.4778 | gap -0.0052 | lr 4.85e-04 | params 1.21M | host_mem 17.6% | gpu_mem 74.7MB | 428.0 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 370/1000 | train_now 2.5932 | train_eval 2.4593 | val 2.4606 | gap -0.0013 | lr 4.76e-04 | params 1.21M | host_mem 17.6% | gpu_mem 74.7MB | 439.0 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 380/1000 | train_now 2.4972 | train_eval 2.4607 | val 2.4796 | gap -0.0188 | lr 4.68e-04 | params 1.21M | host_mem 17.6% | gpu_mem 74.7MB | 426.8 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 390/1000 | train_now 2.4700 | train_eval 2.4808 | val 2.4882 | gap -0.0074 | lr 4.59e-04 | params 1.21M | host_mem 17.6% | gpu_mem 74.7MB | 512.3 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 400/1000 | train_now 2.4336 | train_eval 2.4486 | val 2.4650 | gap -0.0164 | lr 4.50e-04 | params 1.21M | host_mem 17.6% | gpu_mem 74.7MB | 536.3 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 410/1000 | train_now 2.4471 | train_eval 2.4703 | val 2.4823 | gap -0.0120 | lr 4.41e-04 | params 1.21M | host_mem 17.6% | gpu_mem 74.7MB | 534.9 ms/it
[exp17_head8_emb128_bs8_it1000_do0.2] iter 420/1000 | train_now 2.4665 | train_eval 2.4639 | val 2.4635 | gap 0.0004 | lr 4.32e-04 | params 1.21M | host_mem 17.6% | gpu_mem 74.7MB | 537.5 ms/it
