[exp18_head8_emb128_bs8_it2000_do0.1] iter 0/2000 | train_now 4.1936 | train_eval 4.1828 | val 4.1793 | gap 0.0035 | lr 5.94e-06 | params 1.21M | host_mem 17.5% | gpu_mem 79.5MB | 290.9 ms/it
[exp18_head8_emb128_bs8_it2000_do0.1] iter 10/2000 | train_now 3.8003 | train_eval 3.7766 | val 3.7851 | gap -0.0085 | lr 6.53e-05 | params 1.21M | host_mem 17.5% | gpu_mem 79.5MB | 419.7 ms/it
[exp18_head8_emb128_bs8_it2000_do0.1] iter 20/2000 | train_now 3.6549 | train_eval 3.6227 | val 3.6245 | gap -0.0018 | lr 1.25e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.5MB | 448.1 ms/it
[exp18_head8_emb128_bs8_it2000_do0.1] iter 30/2000 | train_now 3.4193 | train_eval 3.3861 | val 3.4001 | gap -0.0140 | lr 1.84e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.5MB | 417.9 ms/it
[exp18_head8_emb128_bs8_it2000_do0.1] iter 40/2000 | train_now 3.2203 | train_eval 3.2082 | val 3.2297 | gap -0.0214 | lr 2.44e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.5MB | 442.0 ms/it
[exp18_head8_emb128_bs8_it2000_do0.1] iter 50/2000 | train_now 3.0699 | train_eval 3.0479 | val 3.0783 | gap -0.0304 | lr 3.03e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.5MB | 424.4 ms/it
[exp18_head8_emb128_bs8_it2000_do0.1] iter 60/2000 | train_now 2.9186 | train_eval 2.9283 | val 2.9546 | gap -0.0263 | lr 3.62e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.5MB | 435.3 ms/it
[exp18_head8_emb128_bs8_it2000_do0.1] iter 70/2000 | train_now 2.9239 | train_eval 2.8274 | val 2.8561 | gap -0.0287 | lr 4.22e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.5MB | 427.3 ms/it
[exp18_head8_emb128_bs8_it2000_do0.1] iter 80/2000 | train_now 2.8119 | train_eval 2.7951 | val 2.7952 | gap -0.0001 | lr 4.81e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 473.6 ms/it
[exp18_head8_emb128_bs8_it2000_do0.1] iter 90/2000 | train_now 2.6463 | train_eval 2.7157 | val 2.7378 | gap -0.0221 | lr 5.41e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 434.7 ms/it
[exp18_head8_emb128_bs8_it2000_do0.1] iter 100/2000 | train_now 2.6750 | train_eval 2.6746 | val 2.6959 | gap -0.0213 | lr 6.00e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 574.1 ms/it
