[exp19_head8_emb128_bs8_it2000_do0.2] iter 0/2000 | train_now 4.1934 | train_eval 4.1834 | val 4.1799 | gap 0.0035 | lr 5.94e-06 | params 1.21M | host_mem 17.6% | gpu_mem 84.3MB | 306.7 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 10/2000 | train_now 3.8258 | train_eval 3.7833 | val 3.7917 | gap -0.0084 | lr 6.53e-05 | params 1.21M | host_mem 17.6% | gpu_mem 84.3MB | 423.5 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 20/2000 | train_now 3.6818 | train_eval 3.6473 | val 3.6526 | gap -0.0054 | lr 1.25e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.3MB | 446.8 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 30/2000 | train_now 3.4652 | train_eval 3.4182 | val 3.4305 | gap -0.0123 | lr 1.84e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.3MB | 427.5 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 40/2000 | train_now 3.2601 | train_eval 3.2277 | val 3.2493 | gap -0.0216 | lr 2.44e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.3MB | 440.0 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 50/2000 | train_now 3.1058 | train_eval 3.0644 | val 3.0980 | gap -0.0336 | lr 3.03e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.3MB | 444.8 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 60/2000 | train_now 2.9529 | train_eval 2.9393 | val 2.9631 | gap -0.0238 | lr 3.62e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.3MB | 442.2 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 70/2000 | train_now 2.9548 | train_eval 2.8368 | val 2.8680 | gap -0.0311 | lr 4.22e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.3MB | 476.0 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 80/2000 | train_now 2.8347 | train_eval 2.8029 | val 2.8061 | gap -0.0032 | lr 4.81e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.3MB | 440.0 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 90/2000 | train_now 2.6684 | train_eval 2.7258 | val 2.7482 | gap -0.0224 | lr 5.41e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.3MB | 441.7 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 100/2000 | train_now 2.7017 | train_eval 2.6747 | val 2.6960 | gap -0.0213 | lr 6.00e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.3MB | 424.6 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 110/2000 | train_now 2.6332 | train_eval 2.6569 | val 2.6485 | gap 0.0083 | lr 6.00e-04 | params 1.21M | host_mem 17.4% | gpu_mem 84.3MB | 453.9 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 120/2000 | train_now 2.6368 | train_eval 2.6157 | val 2.6178 | gap -0.0021 | lr 6.00e-04 | params 1.21M | host_mem 17.4% | gpu_mem 84.3MB | 434.9 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 130/2000 | train_now 2.6127 | train_eval 2.6217 | val 2.6192 | gap 0.0025 | lr 6.00e-04 | params 1.21M | host_mem 17.4% | gpu_mem 84.3MB | 435.1 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 140/2000 | train_now 2.6128 | train_eval 2.5934 | val 2.5894 | gap 0.0040 | lr 5.99e-04 | params 1.21M | host_mem 17.4% | gpu_mem 84.3MB | 424.6 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 150/2000 | train_now 2.6436 | train_eval 2.5800 | val 2.6019 | gap -0.0219 | lr 5.99e-04 | params 1.21M | host_mem 17.4% | gpu_mem 84.3MB | 437.4 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 160/2000 | train_now 2.5852 | train_eval 2.5845 | val 2.5763 | gap 0.0082 | lr 5.99e-04 | params 1.21M | host_mem 17.4% | gpu_mem 84.3MB | 421.6 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 170/2000 | train_now 2.5595 | train_eval 2.5918 | val 2.5649 | gap 0.0269 | lr 5.98e-04 | params 1.21M | host_mem 17.4% | gpu_mem 84.3MB | 425.5 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 180/2000 | train_now 2.5932 | train_eval 2.5600 | val 2.5720 | gap -0.0120 | lr 5.97e-04 | params 1.21M | host_mem 17.4% | gpu_mem 84.3MB | 432.2 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 190/2000 | train_now 2.5634 | train_eval 2.5703 | val 2.5671 | gap 0.0033 | lr 5.97e-04 | params 1.21M | host_mem 17.5% | gpu_mem 84.3MB | 469.7 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 200/2000 | train_now 2.6137 | train_eval 2.5616 | val 2.5557 | gap 0.0059 | lr 5.96e-04 | params 1.21M | host_mem 17.5% | gpu_mem 84.3MB | 546.2 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 210/2000 | train_now 2.5735 | train_eval 2.5389 | val 2.5485 | gap -0.0095 | lr 5.95e-04 | params 1.21M | host_mem 17.5% | gpu_mem 84.3MB | 547.9 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 220/2000 | train_now 2.6042 | train_eval 2.5198 | val 2.5271 | gap -0.0073 | lr 5.94e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.3MB | 558.8 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 230/2000 | train_now 2.5236 | train_eval 2.5294 | val 2.5408 | gap -0.0114 | lr 5.93e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.3MB | 613.9 ms/it
