[exp20_head8_emb128_bs16_it1000_do0.1] iter 0/1000 | train_now 4.1939 | train_eval 4.1835 | val 4.1792 | gap 0.0043 | lr 5.94e-06 | params 1.21M | host_mem 17.7% | gpu_mem 84.5MB | 410.3 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 10/1000 | train_now 3.8264 | train_eval 3.7673 | val 3.7702 | gap -0.0029 | lr 6.53e-05 | params 1.21M | host_mem 17.6% | gpu_mem 84.5MB | 498.1 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 20/1000 | train_now 3.6148 | train_eval 3.5864 | val 3.5934 | gap -0.0070 | lr 1.25e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.5MB | 502.9 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 30/1000 | train_now 3.3791 | train_eval 3.3595 | val 3.3827 | gap -0.0232 | lr 1.84e-04 | params 1.21M | host_mem 17.5% | gpu_mem 84.5MB | 563.4 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 40/1000 | train_now 3.2140 | train_eval 3.1954 | val 3.2062 | gap -0.0107 | lr 2.44e-04 | params 1.21M | host_mem 17.5% | gpu_mem 84.5MB | 594.2 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 50/1000 | train_now 3.0601 | train_eval 3.0284 | val 3.0383 | gap -0.0099 | lr 3.03e-04 | params 1.21M | host_mem 17.5% | gpu_mem 84.5MB | 587.7 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 60/1000 | train_now 2.9045 | train_eval 2.8969 | val 2.9100 | gap -0.0131 | lr 3.62e-04 | params 1.21M | host_mem 17.5% | gpu_mem 84.5MB | 591.8 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 70/1000 | train_now 2.8382 | train_eval 2.8084 | val 2.8198 | gap -0.0114 | lr 4.22e-04 | params 1.21M | host_mem 17.5% | gpu_mem 84.5MB | 657.6 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 80/1000 | train_now 2.7946 | train_eval 2.7328 | val 2.7448 | gap -0.0120 | lr 4.81e-04 | params 1.21M | host_mem 17.5% | gpu_mem 84.5MB | 496.4 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 90/1000 | train_now 2.6557 | train_eval 2.6680 | val 2.6840 | gap -0.0160 | lr 5.41e-04 | params 1.21M | host_mem 17.5% | gpu_mem 84.5MB | 508.5 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 100/1000 | train_now 2.6567 | train_eval 2.6450 | val 2.6459 | gap -0.0008 | lr 6.00e-04 | params 1.21M | host_mem 17.5% | gpu_mem 84.5MB | 506.3 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 110/1000 | train_now 2.6618 | train_eval 2.5981 | val 2.6053 | gap -0.0072 | lr 6.00e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.5MB | 664.1 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 120/1000 | train_now 2.5927 | train_eval 2.6001 | val 2.6052 | gap -0.0050 | lr 5.99e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.5MB | 576.3 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 130/1000 | train_now 2.5751 | train_eval 2.5583 | val 2.5849 | gap -0.0266 | lr 5.98e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.5MB | 599.7 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 140/1000 | train_now 2.5404 | train_eval 2.5555 | val 2.5552 | gap 0.0004 | lr 5.97e-04 | params 1.21M | host_mem 17.7% | gpu_mem 84.5MB | 631.6 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 150/1000 | train_now 2.5857 | train_eval 2.5393 | val 2.5559 | gap -0.0165 | lr 5.95e-04 | params 1.21M | host_mem 17.7% | gpu_mem 84.5MB | 601.2 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 160/1000 | train_now 2.5416 | train_eval 2.5235 | val 2.5231 | gap 0.0004 | lr 5.93e-04 | params 1.21M | host_mem 17.7% | gpu_mem 84.5MB | 502.1 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 170/1000 | train_now 2.5393 | train_eval 2.5312 | val 2.5245 | gap 0.0067 | lr 5.91e-04 | params 1.21M | host_mem 17.7% | gpu_mem 84.5MB | 494.2 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 180/1000 | train_now 2.5584 | train_eval 2.4966 | val 2.4981 | gap -0.0015 | lr 5.88e-04 | params 1.21M | host_mem 17.7% | gpu_mem 84.5MB | 488.2 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 190/1000 | train_now 2.5132 | train_eval 2.4831 | val 2.4884 | gap -0.0053 | lr 5.85e-04 | params 1.21M | host_mem 17.7% | gpu_mem 79.7MB | 501.8 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 200/1000 | train_now 2.4823 | train_eval 2.4848 | val 2.5023 | gap -0.0176 | lr 5.82e-04 | params 1.21M | host_mem 17.7% | gpu_mem 79.7MB | 497.5 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 210/1000 | train_now 2.5004 | train_eval 2.4826 | val 2.4772 | gap 0.0054 | lr 5.78e-04 | params 1.21M | host_mem 17.7% | gpu_mem 79.7MB | 493.8 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 220/1000 | train_now 2.4544 | train_eval 2.4668 | val 2.4701 | gap -0.0034 | lr 5.74e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.7MB | 500.1 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 230/1000 | train_now 2.4703 | train_eval 2.4692 | val 2.4693 | gap -0.0001 | lr 5.70e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.7MB | 500.2 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 240/1000 | train_now 2.4818 | train_eval 2.4585 | val 2.4550 | gap 0.0035 | lr 5.65e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.7MB | 495.4 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 250/1000 | train_now 2.4582 | train_eval 2.4525 | val 2.4496 | gap 0.0029 | lr 5.60e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.7MB | 496.0 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 260/1000 | train_now 2.4699 | train_eval 2.4593 | val 2.4554 | gap 0.0039 | lr 5.54e-04 | params 1.21M | host_mem 17.4% | gpu_mem 79.7MB | 543.3 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 270/1000 | train_now 2.4870 | train_eval 2.4472 | val 2.4466 | gap 0.0006 | lr 5.49e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.7MB | 582.1 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 280/1000 | train_now 2.4919 | train_eval 2.4417 | val 2.4417 | gap -0.0000 | lr 5.43e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.7MB | 562.7 ms/it
