[exp21_head8_emb128_bs16_it1000_do0.2] iter 0/1000 | train_now 4.1957 | train_eval 4.1838 | val 4.1796 | gap 0.0042 | lr 5.94e-06 | params 1.21M | host_mem 17.4% | gpu_mem 84.5MB | 419.8 ms/it
[exp21_head8_emb128_bs16_it1000_do0.2] iter 10/1000 | train_now 3.8493 | train_eval 3.7734 | val 3.7763 | gap -0.0029 | lr 6.53e-05 | params 1.21M | host_mem 17.4% | gpu_mem 84.5MB | 501.7 ms/it
[exp21_head8_emb128_bs16_it1000_do0.2] iter 20/1000 | train_now 3.6426 | train_eval 3.6159 | val 3.6270 | gap -0.0111 | lr 1.25e-04 | params 1.21M | host_mem 17.4% | gpu_mem 84.5MB | 490.4 ms/it
[exp21_head8_emb128_bs16_it1000_do0.2] iter 30/1000 | train_now 3.4244 | train_eval 3.3878 | val 3.4097 | gap -0.0219 | lr 1.84e-04 | params 1.21M | host_mem 17.4% | gpu_mem 84.5MB | 503.3 ms/it
[exp21_head8_emb128_bs16_it1000_do0.2] iter 40/1000 | train_now 3.2440 | train_eval 3.2130 | val 3.2236 | gap -0.0106 | lr 2.44e-04 | params 1.21M | host_mem 17.4% | gpu_mem 84.5MB | 491.8 ms/it
[exp21_head8_emb128_bs16_it1000_do0.2] iter 50/1000 | train_now 3.0901 | train_eval 3.0423 | val 3.0518 | gap -0.0094 | lr 3.03e-04 | params 1.21M | host_mem 17.4% | gpu_mem 84.5MB | 505.6 ms/it
[exp21_head8_emb128_bs16_it1000_do0.2] iter 60/1000 | train_now 2.9407 | train_eval 2.9112 | val 2.9252 | gap -0.0140 | lr 3.62e-04 | params 1.21M | host_mem 17.4% | gpu_mem 84.5MB | 492.0 ms/it
[exp21_head8_emb128_bs16_it1000_do0.2] iter 70/1000 | train_now 2.8661 | train_eval 2.8140 | val 2.8294 | gap -0.0154 | lr 4.22e-04 | params 1.21M | host_mem 17.4% | gpu_mem 84.5MB | 496.0 ms/it
[exp21_head8_emb128_bs16_it1000_do0.2] iter 80/1000 | train_now 2.8141 | train_eval 2.7402 | val 2.7524 | gap -0.0122 | lr 4.81e-04 | params 1.21M | host_mem 17.4% | gpu_mem 84.5MB | 496.7 ms/it
[exp21_head8_emb128_bs16_it1000_do0.2] iter 90/1000 | train_now 2.6791 | train_eval 2.6752 | val 2.6907 | gap -0.0156 | lr 5.41e-04 | params 1.21M | host_mem 17.4% | gpu_mem 84.5MB | 497.4 ms/it
[exp21_head8_emb128_bs16_it1000_do0.2] iter 100/1000 | train_now 2.6799 | train_eval 2.6568 | val 2.6568 | gap -0.0000 | lr 6.00e-04 | params 1.21M | host_mem 17.4% | gpu_mem 84.5MB | 498.6 ms/it
[exp21_head8_emb128_bs16_it1000_do0.2] iter 110/1000 | train_now 2.6825 | train_eval 2.6090 | val 2.6151 | gap -0.0061 | lr 6.00e-04 | params 1.21M | host_mem 17.4% | gpu_mem 84.5MB | 496.3 ms/it
[exp21_head8_emb128_bs16_it1000_do0.2] iter 120/1000 | train_now 2.6124 | train_eval 2.6060 | val 2.6122 | gap -0.0061 | lr 5.99e-04 | params 1.21M | host_mem 17.5% | gpu_mem 84.5MB | 621.6 ms/it
[exp21_head8_emb128_bs16_it1000_do0.2] iter 130/1000 | train_now 2.5992 | train_eval 2.5696 | val 2.5953 | gap -0.0257 | lr 5.98e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.5MB | 620.2 ms/it
[exp21_head8_emb128_bs16_it1000_do0.2] iter 140/1000 | train_now 2.5494 | train_eval 2.5618 | val 2.5615 | gap 0.0003 | lr 5.97e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.5MB | 576.8 ms/it
[exp21_head8_emb128_bs16_it1000_do0.2] iter 150/1000 | train_now 2.6146 | train_eval 2.5523 | val 2.5701 | gap -0.0179 | lr 5.95e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.5MB | 659.1 ms/it
[exp21_head8_emb128_bs16_it1000_do0.2] iter 160/1000 | train_now 2.5592 | train_eval 2.5327 | val 2.5333 | gap -0.0006 | lr 5.93e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.5MB | 580.7 ms/it
[exp21_head8_emb128_bs16_it1000_do0.2] iter 170/1000 | train_now 2.5607 | train_eval 2.5453 | val 2.5354 | gap 0.0098 | lr 5.91e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.5MB | 504.9 ms/it
[exp21_head8_emb128_bs16_it1000_do0.2] iter 180/1000 | train_now 2.5807 | train_eval 2.5121 | val 2.5091 | gap 0.0030 | lr 5.88e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.5MB | 486.4 ms/it
[exp21_head8_emb128_bs16_it1000_do0.2] iter 190/1000 | train_now 2.5338 | train_eval 2.5044 | val 2.5120 | gap -0.0076 | lr 5.85e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.5MB | 505.3 ms/it
[exp21_head8_emb128_bs16_it1000_do0.2] iter 200/1000 | train_now 2.5211 | train_eval 2.5021 | val 2.5141 | gap -0.0120 | lr 5.82e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.5MB | 488.8 ms/it
