[exp22_head8_emb128_bs16_it2000_do0.1] iter 0/2000 | train_now 4.1939 | train_eval 4.1835 | val 4.1792 | gap 0.0043 | lr 5.94e-06 | params 1.21M | host_mem 17.4% | gpu_mem 79.7MB | 460.1 ms/it
[exp22_head8_emb128_bs16_it2000_do0.1] iter 10/2000 | train_now 3.8264 | train_eval 3.7673 | val 3.7702 | gap -0.0029 | lr 6.53e-05 | params 1.21M | host_mem 17.5% | gpu_mem 79.7MB | 681.0 ms/it
[exp22_head8_emb128_bs16_it2000_do0.1] iter 20/2000 | train_now 3.6148 | train_eval 3.5864 | val 3.5934 | gap -0.0070 | lr 1.25e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.7MB | 506.9 ms/it
[exp22_head8_emb128_bs16_it2000_do0.1] iter 30/2000 | train_now 3.3791 | train_eval 3.3595 | val 3.3827 | gap -0.0232 | lr 1.84e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.7MB | 503.1 ms/it
[exp22_head8_emb128_bs16_it2000_do0.1] iter 40/2000 | train_now 3.2140 | train_eval 3.1954 | val 3.2062 | gap -0.0107 | lr 2.44e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.7MB | 494.4 ms/it
[exp22_head8_emb128_bs16_it2000_do0.1] iter 50/2000 | train_now 3.0601 | train_eval 3.0284 | val 3.0383 | gap -0.0099 | lr 3.03e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.7MB | 507.2 ms/it
[exp22_head8_emb128_bs16_it2000_do0.1] iter 60/2000 | train_now 2.9045 | train_eval 2.8969 | val 2.9100 | gap -0.0131 | lr 3.62e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.7MB | 494.1 ms/it
[exp22_head8_emb128_bs16_it2000_do0.1] iter 70/2000 | train_now 2.8382 | train_eval 2.8084 | val 2.8198 | gap -0.0114 | lr 4.22e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.7MB | 494.1 ms/it
[exp22_head8_emb128_bs16_it2000_do0.1] iter 80/2000 | train_now 2.7946 | train_eval 2.7328 | val 2.7448 | gap -0.0120 | lr 4.81e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.7MB | 494.0 ms/it
[exp22_head8_emb128_bs16_it2000_do0.1] iter 90/2000 | train_now 2.6557 | train_eval 2.6680 | val 2.6840 | gap -0.0160 | lr 5.41e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.7MB | 494.8 ms/it
[exp22_head8_emb128_bs16_it2000_do0.1] iter 100/2000 | train_now 2.6567 | train_eval 2.6450 | val 2.6459 | gap -0.0008 | lr 6.00e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.7MB | 494.4 ms/it
[exp22_head8_emb128_bs16_it2000_do0.1] iter 110/2000 | train_now 2.6617 | train_eval 2.5981 | val 2.6053 | gap -0.0072 | lr 6.00e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.7MB | 494.8 ms/it
[exp22_head8_emb128_bs16_it2000_do0.1] iter 120/2000 | train_now 2.5932 | train_eval 2.6002 | val 2.6052 | gap -0.0050 | lr 6.00e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.7MB | 497.9 ms/it
[exp22_head8_emb128_bs16_it2000_do0.1] iter 130/2000 | train_now 2.5748 | train_eval 2.5583 | val 2.5850 | gap -0.0267 | lr 6.00e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.7MB | 507.0 ms/it
[exp22_head8_emb128_bs16_it2000_do0.1] iter 140/2000 | train_now 2.5402 | train_eval 2.5556 | val 2.5552 | gap 0.0005 | lr 5.99e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.7MB | 493.6 ms/it
[exp22_head8_emb128_bs16_it2000_do0.1] iter 150/2000 | train_now 2.5856 | train_eval 2.5394 | val 2.5560 | gap -0.0166 | lr 5.99e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.7MB | 501.7 ms/it
[exp22_head8_emb128_bs16_it2000_do0.1] iter 160/2000 | train_now 2.5415 | train_eval 2.5236 | val 2.5231 | gap 0.0005 | lr 5.99e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.7MB | 486.4 ms/it
[exp22_head8_emb128_bs16_it2000_do0.1] iter 170/2000 | train_now 2.5396 | train_eval 2.5313 | val 2.5247 | gap 0.0066 | lr 5.98e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.7MB | 504.5 ms/it
[exp22_head8_emb128_bs16_it2000_do0.1] iter 180/2000 | train_now 2.5583 | train_eval 2.4973 | val 2.4989 | gap -0.0016 | lr 5.97e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.7MB | 492.0 ms/it
[exp22_head8_emb128_bs16_it2000_do0.1] iter 190/2000 | train_now 2.5131 | train_eval 2.4831 | val 2.4882 | gap -0.0052 | lr 5.97e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.7MB | 514.5 ms/it
[exp22_head8_emb128_bs16_it2000_do0.1] iter 200/2000 | train_now 2.4827 | train_eval 2.4848 | val 2.5023 | gap -0.0176 | lr 5.96e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.7MB | 497.9 ms/it
[exp22_head8_emb128_bs16_it2000_do0.1] iter 210/2000 | train_now 2.5007 | train_eval 2.4837 | val 2.4784 | gap 0.0053 | lr 5.95e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.7MB | 496.4 ms/it
[exp22_head8_emb128_bs16_it2000_do0.1] iter 220/2000 | train_now 2.4548 | train_eval 2.4678 | val 2.4710 | gap -0.0031 | lr 5.94e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.7MB | 598.4 ms/it
