[exp23_head8_emb128_bs16_it2000_do0.2] iter 0/2000 | train_now 4.1957 | train_eval 4.1838 | val 4.1796 | gap 0.0042 | lr 5.94e-06 | params 1.21M | host_mem 17.4% | gpu_mem 84.5MB | 414.3 ms/it
[exp23_head8_emb128_bs16_it2000_do0.2] iter 10/2000 | train_now 3.8493 | train_eval 3.7734 | val 3.7763 | gap -0.0029 | lr 6.53e-05 | params 1.21M | host_mem 17.4% | gpu_mem 84.5MB | 493.8 ms/it
[exp23_head8_emb128_bs16_it2000_do0.2] iter 20/2000 | train_now 3.6426 | train_eval 3.6159 | val 3.6270 | gap -0.0111 | lr 1.25e-04 | params 1.21M | host_mem 17.4% | gpu_mem 84.5MB | 503.7 ms/it
[exp23_head8_emb128_bs16_it2000_do0.2] iter 30/2000 | train_now 3.4244 | train_eval 3.3878 | val 3.4097 | gap -0.0219 | lr 1.84e-04 | params 1.21M | host_mem 17.5% | gpu_mem 84.5MB | 504.8 ms/it
[exp23_head8_emb128_bs16_it2000_do0.2] iter 40/2000 | train_now 3.2440 | train_eval 3.2130 | val 3.2236 | gap -0.0106 | lr 2.44e-04 | params 1.21M | host_mem 17.5% | gpu_mem 84.5MB | 501.6 ms/it
[exp23_head8_emb128_bs16_it2000_do0.2] iter 50/2000 | train_now 3.0901 | train_eval 3.0423 | val 3.0518 | gap -0.0094 | lr 3.03e-04 | params 1.21M | host_mem 17.5% | gpu_mem 84.5MB | 493.2 ms/it
[exp23_head8_emb128_bs16_it2000_do0.2] iter 60/2000 | train_now 2.9407 | train_eval 2.9112 | val 2.9252 | gap -0.0140 | lr 3.62e-04 | params 1.21M | host_mem 17.5% | gpu_mem 84.5MB | 505.9 ms/it
[exp23_head8_emb128_bs16_it2000_do0.2] iter 70/2000 | train_now 2.8661 | train_eval 2.8140 | val 2.8294 | gap -0.0154 | lr 4.22e-04 | params 1.21M | host_mem 17.5% | gpu_mem 84.5MB | 565.9 ms/it
[exp23_head8_emb128_bs16_it2000_do0.2] iter 80/2000 | train_now 2.8141 | train_eval 2.7402 | val 2.7524 | gap -0.0122 | lr 4.81e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.5MB | 581.1 ms/it
[exp23_head8_emb128_bs16_it2000_do0.2] iter 90/2000 | train_now 2.6791 | train_eval 2.6752 | val 2.6907 | gap -0.0156 | lr 5.41e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.5MB | 564.5 ms/it
[exp23_head8_emb128_bs16_it2000_do0.2] iter 100/2000 | train_now 2.6799 | train_eval 2.6568 | val 2.6568 | gap -0.0000 | lr 6.00e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.5MB | 616.0 ms/it
