[exp24_head8_emb256_bs8_it1000_do0.1] iter 0/1000 | train_now 4.2279 | train_eval 4.1742 | val 4.1739 | gap 0.0003 | lr 5.94e-06 | params 4.77M | host_mem 17.5% | gpu_mem 127.1MB | 410.4 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 10/1000 | train_now 3.4268 | train_eval 3.4084 | val 3.4469 | gap -0.0385 | lr 6.53e-05 | params 4.77M | host_mem 17.5% | gpu_mem 127.1MB | 494.8 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 20/1000 | train_now 3.1023 | train_eval 3.0728 | val 3.1001 | gap -0.0273 | lr 1.25e-04 | params 4.77M | host_mem 17.5% | gpu_mem 127.1MB | 510.2 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 30/1000 | train_now 2.9585 | train_eval 2.8876 | val 2.8807 | gap 0.0068 | lr 1.84e-04 | params 4.77M | host_mem 17.5% | gpu_mem 127.1MB | 503.6 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 40/1000 | train_now 2.7835 | train_eval 2.7586 | val 2.7634 | gap -0.0048 | lr 2.44e-04 | params 4.77M | host_mem 17.5% | gpu_mem 127.1MB | 506.9 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 50/1000 | train_now 2.6723 | train_eval 2.6808 | val 2.7069 | gap -0.0261 | lr 3.03e-04 | params 4.77M | host_mem 17.5% | gpu_mem 127.1MB | 509.2 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 60/1000 | train_now 2.6509 | train_eval 2.6421 | val 2.6555 | gap -0.0134 | lr 3.62e-04 | params 4.77M | host_mem 17.5% | gpu_mem 127.1MB | 503.5 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 70/1000 | train_now 2.6183 | train_eval 2.6326 | val 2.6256 | gap 0.0069 | lr 4.22e-04 | params 4.77M | host_mem 17.5% | gpu_mem 127.1MB | 512.7 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 80/1000 | train_now 2.6184 | train_eval 2.5978 | val 2.6055 | gap -0.0077 | lr 4.81e-04 | params 4.77M | host_mem 17.5% | gpu_mem 127.1MB | 522.4 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 90/1000 | train_now 2.5708 | train_eval 2.5883 | val 2.5892 | gap -0.0009 | lr 5.41e-04 | params 4.77M | host_mem 17.6% | gpu_mem 127.1MB | 520.1 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 100/1000 | train_now 2.5236 | train_eval 2.5579 | val 2.5729 | gap -0.0151 | lr 6.00e-04 | params 4.77M | host_mem 17.5% | gpu_mem 127.1MB | 505.0 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 110/1000 | train_now 2.5699 | train_eval 2.5558 | val 2.5503 | gap 0.0055 | lr 6.00e-04 | params 4.77M | host_mem 17.5% | gpu_mem 127.1MB | 510.5 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 120/1000 | train_now 2.5774 | train_eval 2.5415 | val 2.5376 | gap 0.0039 | lr 5.99e-04 | params 4.77M | host_mem 17.5% | gpu_mem 127.1MB | 508.3 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 130/1000 | train_now 2.5281 | train_eval 2.5334 | val 2.5577 | gap -0.0242 | lr 5.98e-04 | params 4.77M | host_mem 17.5% | gpu_mem 127.1MB | 520.6 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 140/1000 | train_now 2.5552 | train_eval 2.5363 | val 2.5612 | gap -0.0249 | lr 5.97e-04 | params 4.77M | host_mem 17.7% | gpu_mem 127.1MB | 607.6 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 150/1000 | train_now 2.5659 | train_eval 2.5022 | val 2.5270 | gap -0.0248 | lr 5.95e-04 | params 4.77M | host_mem 17.7% | gpu_mem 127.1MB | 540.5 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 160/1000 | train_now 2.5682 | train_eval 2.5068 | val 2.5151 | gap -0.0083 | lr 5.93e-04 | params 4.77M | host_mem 17.6% | gpu_mem 127.1MB | 587.0 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 170/1000 | train_now 2.5074 | train_eval 2.5103 | val 2.5056 | gap 0.0047 | lr 5.91e-04 | params 4.77M | host_mem 17.7% | gpu_mem 127.1MB | 633.8 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 180/1000 | train_now 2.5628 | train_eval 2.5057 | val 2.5167 | gap -0.0110 | lr 5.88e-04 | params 4.77M | host_mem 17.6% | gpu_mem 127.1MB | 635.2 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 190/1000 | train_now 2.5236 | train_eval 2.5055 | val 2.4974 | gap 0.0081 | lr 5.85e-04 | params 4.77M | host_mem 17.6% | gpu_mem 127.1MB | 482.2 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 200/1000 | train_now 2.5343 | train_eval 2.4822 | val 2.4895 | gap -0.0073 | lr 5.82e-04 | params 4.77M | host_mem 17.5% | gpu_mem 127.1MB | 512.8 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 210/1000 | train_now 2.4986 | train_eval 2.4918 | val 2.4779 | gap 0.0140 | lr 5.78e-04 | params 4.77M | host_mem 17.5% | gpu_mem 127.1MB | 508.0 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 220/1000 | train_now 2.4349 | train_eval 2.4714 | val 2.4869 | gap -0.0155 | lr 5.74e-04 | params 4.77M | host_mem 17.5% | gpu_mem 127.1MB | 514.3 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 230/1000 | train_now 2.6517 | train_eval 2.4800 | val 2.4703 | gap 0.0097 | lr 5.70e-04 | params 4.77M | host_mem 17.5% | gpu_mem 127.1MB | 484.7 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 240/1000 | train_now 2.5010 | train_eval 2.4683 | val 2.4603 | gap 0.0080 | lr 5.65e-04 | params 4.77M | host_mem 17.5% | gpu_mem 127.1MB | 514.7 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 250/1000 | train_now 2.4935 | train_eval 2.4820 | val 2.4983 | gap -0.0163 | lr 5.60e-04 | params 4.77M | host_mem 17.5% | gpu_mem 127.1MB | 506.4 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 260/1000 | train_now 2.5150 | train_eval 2.4672 | val 2.4682 | gap -0.0010 | lr 5.54e-04 | params 4.77M | host_mem 17.5% | gpu_mem 127.1MB | 490.3 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 270/1000 | train_now 2.4626 | train_eval 2.4389 | val 2.4421 | gap -0.0032 | lr 5.49e-04 | params 4.77M | host_mem 17.5% | gpu_mem 127.1MB | 480.3 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 280/1000 | train_now 2.4304 | train_eval 2.4491 | val 2.4504 | gap -0.0013 | lr 5.43e-04 | params 4.77M | host_mem 17.6% | gpu_mem 127.1MB | 524.0 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 290/1000 | train_now 2.4512 | train_eval 2.4700 | val 2.4562 | gap 0.0139 | lr 5.36e-04 | params 4.77M | host_mem 17.6% | gpu_mem 127.1MB | 485.3 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 300/1000 | train_now 2.4212 | train_eval 2.4475 | val 2.4565 | gap -0.0090 | lr 5.30e-04 | params 4.77M | host_mem 17.6% | gpu_mem 127.1MB | 486.7 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 310/1000 | train_now 2.4335 | train_eval 2.4513 | val 2.4458 | gap 0.0055 | lr 5.23e-04 | params 4.77M | host_mem 17.6% | gpu_mem 127.1MB | 481.0 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 320/1000 | train_now 2.4532 | train_eval 2.4598 | val 2.4647 | gap -0.0048 | lr 5.16e-04 | params 4.77M | host_mem 17.6% | gpu_mem 127.1MB | 486.9 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 330/1000 | train_now 2.4330 | train_eval 2.4259 | val 2.4590 | gap -0.0331 | lr 5.08e-04 | params 4.77M | host_mem 17.6% | gpu_mem 127.1MB | 484.7 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 340/1000 | train_now 2.4239 | train_eval 2.4124 | val 2.4683 | gap -0.0559 | lr 5.01e-04 | params 4.77M | host_mem 17.6% | gpu_mem 127.1MB | 484.7 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 350/1000 | train_now 2.3527 | train_eval 2.4012 | val 2.4329 | gap -0.0317 | lr 4.93e-04 | params 4.77M | host_mem 17.6% | gpu_mem 127.1MB | 487.4 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 360/1000 | train_now 2.4614 | train_eval 2.4093 | val 2.4137 | gap -0.0044 | lr 4.85e-04 | params 4.77M | host_mem 17.5% | gpu_mem 127.1MB | 507.9 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 370/1000 | train_now 2.4661 | train_eval 2.4073 | val 2.4290 | gap -0.0218 | lr 4.76e-04 | params 4.77M | host_mem 17.5% | gpu_mem 127.1MB | 516.7 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 380/1000 | train_now 2.4304 | train_eval 2.3860 | val 2.4206 | gap -0.0347 | lr 4.68e-04 | params 4.77M | host_mem 17.6% | gpu_mem 127.1MB | 526.9 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 390/1000 | train_now 2.4961 | train_eval 2.3918 | val 2.4184 | gap -0.0266 | lr 4.59e-04 | params 4.77M | host_mem 17.6% | gpu_mem 127.1MB | 545.9 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 400/1000 | train_now 2.3948 | train_eval 2.3866 | val 2.4048 | gap -0.0182 | lr 4.50e-04 | params 4.77M | host_mem 17.6% | gpu_mem 127.1MB | 532.7 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 410/1000 | train_now 2.4104 | train_eval 2.3719 | val 2.3843 | gap -0.0124 | lr 4.41e-04 | params 4.77M | host_mem 17.6% | gpu_mem 127.1MB | 629.2 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 420/1000 | train_now 2.4393 | train_eval 2.3923 | val 2.4258 | gap -0.0335 | lr 4.32e-04 | params 4.77M | host_mem 17.7% | gpu_mem 127.1MB | 698.2 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 430/1000 | train_now 2.3498 | train_eval 2.3616 | val 2.3975 | gap -0.0358 | lr 4.22e-04 | params 4.77M | host_mem 17.7% | gpu_mem 127.1MB | 542.5 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 440/1000 | train_now 2.4392 | train_eval 2.3579 | val 2.3898 | gap -0.0319 | lr 4.12e-04 | params 4.77M | host_mem 17.7% | gpu_mem 127.1MB | 494.3 ms/it
[exp24_head8_emb256_bs8_it1000_do0.1] iter 450/1000 | train_now 2.3039 | train_eval 2.3307 | val 2.3597 | gap -0.0290 | lr 4.03e-04 | params 4.77M | host_mem 17.7% | gpu_mem 127.1MB | 481.9 ms/it
