[exp25_head8_emb256_bs8_it1000_do0.2] iter 0/1000 | train_now 4.2206 | train_eval 4.1765 | val 4.1763 | gap 0.0002 | lr 5.94e-06 | params 4.77M | host_mem 17.5% | gpu_mem 146.2MB | 467.2 ms/it
[exp25_head8_emb256_bs8_it1000_do0.2] iter 10/1000 | train_now 3.4562 | train_eval 3.4284 | val 3.4680 | gap -0.0397 | lr 6.53e-05 | params 4.77M | host_mem 17.5% | gpu_mem 146.2MB | 599.2 ms/it
[exp25_head8_emb256_bs8_it1000_do0.2] iter 20/1000 | train_now 3.1808 | train_eval 3.1209 | val 3.1450 | gap -0.0240 | lr 1.25e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 656.0 ms/it
[exp25_head8_emb256_bs8_it1000_do0.2] iter 30/1000 | train_now 2.9992 | train_eval 2.9149 | val 2.9110 | gap 0.0038 | lr 1.84e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 499.3 ms/it
[exp25_head8_emb256_bs8_it1000_do0.2] iter 40/1000 | train_now 2.8260 | train_eval 2.7712 | val 2.7738 | gap -0.0026 | lr 2.44e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 506.8 ms/it
[exp25_head8_emb256_bs8_it1000_do0.2] iter 50/1000 | train_now 2.6997 | train_eval 2.6870 | val 2.7119 | gap -0.0249 | lr 3.03e-04 | params 4.77M | host_mem 17.5% | gpu_mem 146.2MB | 501.4 ms/it
[exp25_head8_emb256_bs8_it1000_do0.2] iter 60/1000 | train_now 2.6720 | train_eval 2.6476 | val 2.6647 | gap -0.0171 | lr 3.62e-04 | params 4.77M | host_mem 17.5% | gpu_mem 146.2MB | 507.4 ms/it
[exp25_head8_emb256_bs8_it1000_do0.2] iter 70/1000 | train_now 2.6355 | train_eval 2.6420 | val 2.6354 | gap 0.0066 | lr 4.22e-04 | params 4.77M | host_mem 17.4% | gpu_mem 146.2MB | 504.4 ms/it
[exp25_head8_emb256_bs8_it1000_do0.2] iter 80/1000 | train_now 2.6382 | train_eval 2.6053 | val 2.6100 | gap -0.0047 | lr 4.81e-04 | params 4.77M | host_mem 17.5% | gpu_mem 146.2MB | 510.9 ms/it
[exp25_head8_emb256_bs8_it1000_do0.2] iter 90/1000 | train_now 2.5792 | train_eval 2.5940 | val 2.5936 | gap 0.0004 | lr 5.41e-04 | params 4.77M | host_mem 17.5% | gpu_mem 146.2MB | 503.0 ms/it
[exp25_head8_emb256_bs8_it1000_do0.2] iter 100/1000 | train_now 2.5428 | train_eval 2.5629 | val 2.5782 | gap -0.0153 | lr 6.00e-04 | params 4.77M | host_mem 17.4% | gpu_mem 146.2MB | 506.0 ms/it
[exp25_head8_emb256_bs8_it1000_do0.2] iter 110/1000 | train_now 2.5857 | train_eval 2.5661 | val 2.5587 | gap 0.0075 | lr 6.00e-04 | params 4.77M | host_mem 17.4% | gpu_mem 146.2MB | 504.4 ms/it
[exp25_head8_emb256_bs8_it1000_do0.2] iter 120/1000 | train_now 2.5733 | train_eval 2.5465 | val 2.5444 | gap 0.0021 | lr 5.99e-04 | params 4.77M | host_mem 17.4% | gpu_mem 146.2MB | 508.9 ms/it
[exp25_head8_emb256_bs8_it1000_do0.2] iter 130/1000 | train_now 2.5349 | train_eval 2.5376 | val 2.5619 | gap -0.0242 | lr 5.98e-04 | params 4.77M | host_mem 17.4% | gpu_mem 146.2MB | 504.8 ms/it
[exp25_head8_emb256_bs8_it1000_do0.2] iter 140/1000 | train_now 2.5646 | train_eval 2.5410 | val 2.5611 | gap -0.0201 | lr 5.97e-04 | params 4.77M | host_mem 17.4% | gpu_mem 146.2MB | 484.5 ms/it
[exp25_head8_emb256_bs8_it1000_do0.2] iter 150/1000 | train_now 2.5747 | train_eval 2.5138 | val 2.5384 | gap -0.0246 | lr 5.95e-04 | params 4.77M | host_mem 17.4% | gpu_mem 146.2MB | 481.6 ms/it
[exp25_head8_emb256_bs8_it1000_do0.2] iter 160/1000 | train_now 2.5809 | train_eval 2.5146 | val 2.5172 | gap -0.0026 | lr 5.93e-04 | params 4.77M | host_mem 17.4% | gpu_mem 146.2MB | 518.3 ms/it
[exp25_head8_emb256_bs8_it1000_do0.2] iter 170/1000 | train_now 2.5429 | train_eval 2.5229 | val 2.5190 | gap 0.0038 | lr 5.91e-04 | params 4.77M | host_mem 17.4% | gpu_mem 146.2MB | 512.8 ms/it
[exp25_head8_emb256_bs8_it1000_do0.2] iter 180/1000 | train_now 2.5722 | train_eval 2.5164 | val 2.5281 | gap -0.0118 | lr 5.88e-04 | params 4.77M | host_mem 17.4% | gpu_mem 146.2MB | 480.3 ms/it
[exp25_head8_emb256_bs8_it1000_do0.2] iter 190/1000 | train_now 2.5490 | train_eval 2.5097 | val 2.4988 | gap 0.0109 | lr 5.85e-04 | params 4.77M | host_mem 17.4% | gpu_mem 146.2MB | 482.1 ms/it
[exp25_head8_emb256_bs8_it1000_do0.2] iter 200/1000 | train_now 2.5310 | train_eval 2.4857 | val 2.4952 | gap -0.0095 | lr 5.82e-04 | params 4.77M | host_mem 17.4% | gpu_mem 146.2MB | 519.3 ms/it
