[exp26_head8_emb256_bs8_it2000_do0.1] iter 0/2000 | train_now 4.2279 | train_eval 4.1742 | val 4.1739 | gap 0.0003 | lr 5.94e-06 | params 4.77M | host_mem 17.7% | gpu_mem 146.2MB | 434.8 ms/it
[exp26_head8_emb256_bs8_it2000_do0.1] iter 10/2000 | train_now 3.4268 | train_eval 3.4084 | val 3.4469 | gap -0.0385 | lr 6.53e-05 | params 4.77M | host_mem 17.7% | gpu_mem 146.2MB | 503.7 ms/it
[exp26_head8_emb256_bs8_it2000_do0.1] iter 20/2000 | train_now 3.1023 | train_eval 3.0728 | val 3.1001 | gap -0.0273 | lr 1.25e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 514.4 ms/it
[exp26_head8_emb256_bs8_it2000_do0.1] iter 30/2000 | train_now 2.9585 | train_eval 2.8876 | val 2.8807 | gap 0.0068 | lr 1.84e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 501.3 ms/it
[exp26_head8_emb256_bs8_it2000_do0.1] iter 40/2000 | train_now 2.7835 | train_eval 2.7586 | val 2.7634 | gap -0.0048 | lr 2.44e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 511.1 ms/it
[exp26_head8_emb256_bs8_it2000_do0.1] iter 50/2000 | train_now 2.6723 | train_eval 2.6808 | val 2.7069 | gap -0.0261 | lr 3.03e-04 | params 4.77M | host_mem 17.5% | gpu_mem 146.2MB | 501.3 ms/it
[exp26_head8_emb256_bs8_it2000_do0.1] iter 60/2000 | train_now 2.6509 | train_eval 2.6421 | val 2.6555 | gap -0.0134 | lr 3.62e-04 | params 4.77M | host_mem 17.5% | gpu_mem 146.2MB | 506.8 ms/it
[exp26_head8_emb256_bs8_it2000_do0.1] iter 70/2000 | train_now 2.6183 | train_eval 2.6326 | val 2.6256 | gap 0.0069 | lr 4.22e-04 | params 4.77M | host_mem 17.5% | gpu_mem 146.2MB | 502.4 ms/it
[exp26_head8_emb256_bs8_it2000_do0.1] iter 80/2000 | train_now 2.6184 | train_eval 2.5978 | val 2.6055 | gap -0.0077 | lr 4.81e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 582.7 ms/it
[exp26_head8_emb256_bs8_it2000_do0.1] iter 90/2000 | train_now 2.5708 | train_eval 2.5883 | val 2.5892 | gap -0.0009 | lr 5.41e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 613.5 ms/it
[exp26_head8_emb256_bs8_it2000_do0.1] iter 100/2000 | train_now 2.5236 | train_eval 2.5579 | val 2.5729 | gap -0.0151 | lr 6.00e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 580.1 ms/it
[exp26_head8_emb256_bs8_it2000_do0.1] iter 110/2000 | train_now 2.5699 | train_eval 2.5558 | val 2.5503 | gap 0.0055 | lr 6.00e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 609.7 ms/it
[exp26_head8_emb256_bs8_it2000_do0.1] iter 120/2000 | train_now 2.5775 | train_eval 2.5415 | val 2.5376 | gap 0.0039 | lr 6.00e-04 | params 4.77M | host_mem 17.7% | gpu_mem 146.2MB | 654.2 ms/it
[exp26_head8_emb256_bs8_it2000_do0.1] iter 130/2000 | train_now 2.5285 | train_eval 2.5335 | val 2.5577 | gap -0.0241 | lr 6.00e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 501.3 ms/it
[exp26_head8_emb256_bs8_it2000_do0.1] iter 140/2000 | train_now 2.5553 | train_eval 2.5364 | val 2.5613 | gap -0.0249 | lr 5.99e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 480.9 ms/it
[exp26_head8_emb256_bs8_it2000_do0.1] iter 150/2000 | train_now 2.5658 | train_eval 2.5022 | val 2.5270 | gap -0.0247 | lr 5.99e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 473.4 ms/it
[exp26_head8_emb256_bs8_it2000_do0.1] iter 160/2000 | train_now 2.5684 | train_eval 2.5071 | val 2.5150 | gap -0.0079 | lr 5.99e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 505.7 ms/it
[exp26_head8_emb256_bs8_it2000_do0.1] iter 170/2000 | train_now 2.5077 | train_eval 2.5106 | val 2.5059 | gap 0.0047 | lr 5.98e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 501.4 ms/it
[exp26_head8_emb256_bs8_it2000_do0.1] iter 180/2000 | train_now 2.5629 | train_eval 2.5060 | val 2.5171 | gap -0.0112 | lr 5.97e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 505.3 ms/it
[exp26_head8_emb256_bs8_it2000_do0.1] iter 190/2000 | train_now 2.5247 | train_eval 2.5064 | val 2.4984 | gap 0.0080 | lr 5.97e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 476.3 ms/it
[exp26_head8_emb256_bs8_it2000_do0.1] iter 200/2000 | train_now 2.5350 | train_eval 2.4838 | val 2.4912 | gap -0.0074 | lr 5.96e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 509.0 ms/it
[exp26_head8_emb256_bs8_it2000_do0.1] iter 210/2000 | train_now 2.4997 | train_eval 2.4929 | val 2.4794 | gap 0.0135 | lr 5.95e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 516.2 ms/it
[exp26_head8_emb256_bs8_it2000_do0.1] iter 220/2000 | train_now 2.4349 | train_eval 2.4737 | val 2.4882 | gap -0.0146 | lr 5.94e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 519.1 ms/it
[exp26_head8_emb256_bs8_it2000_do0.1] iter 230/2000 | train_now 2.6530 | train_eval 2.4797 | val 2.4700 | gap 0.0097 | lr 5.93e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 478.5 ms/it
[exp26_head8_emb256_bs8_it2000_do0.1] iter 240/2000 | train_now 2.5019 | train_eval 2.4711 | val 2.4638 | gap 0.0073 | lr 5.92e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 510.6 ms/it
[exp26_head8_emb256_bs8_it2000_do0.1] iter 250/2000 | train_now 2.4953 | train_eval 2.4845 | val 2.5011 | gap -0.0165 | lr 5.91e-04 | params 4.77M | host_mem 17.5% | gpu_mem 146.2MB | 501.0 ms/it
[exp26_head8_emb256_bs8_it2000_do0.1] iter 260/2000 | train_now 2.5169 | train_eval 2.4703 | val 2.4714 | gap -0.0011 | lr 5.90e-04 | params 4.77M | host_mem 17.5% | gpu_mem 146.2MB | 490.7 ms/it
[exp26_head8_emb256_bs8_it2000_do0.1] iter 270/2000 | train_now 2.4639 | train_eval 2.4414 | val 2.4445 | gap -0.0031 | lr 5.88e-04 | params 4.77M | host_mem 17.5% | gpu_mem 146.2MB | 476.9 ms/it
