[exp27_head8_emb256_bs8_it2000_do0.2] iter 0/2000 | train_now 4.2206 | train_eval 4.1765 | val 4.1763 | gap 0.0002 | lr 5.94e-06 | params 4.77M | host_mem 17.7% | gpu_mem 146.2MB | 404.7 ms/it
[exp27_head8_emb256_bs8_it2000_do0.2] iter 10/2000 | train_now 3.4562 | train_eval 3.4284 | val 3.4680 | gap -0.0397 | lr 6.53e-05 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 496.4 ms/it
[exp27_head8_emb256_bs8_it2000_do0.2] iter 20/2000 | train_now 3.1808 | train_eval 3.1209 | val 3.1450 | gap -0.0240 | lr 1.25e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 507.1 ms/it
[exp27_head8_emb256_bs8_it2000_do0.2] iter 30/2000 | train_now 2.9992 | train_eval 2.9149 | val 2.9110 | gap 0.0038 | lr 1.84e-04 | params 4.77M | host_mem 17.5% | gpu_mem 146.2MB | 501.3 ms/it
[exp27_head8_emb256_bs8_it2000_do0.2] iter 40/2000 | train_now 2.8260 | train_eval 2.7712 | val 2.7738 | gap -0.0026 | lr 2.44e-04 | params 4.77M | host_mem 17.5% | gpu_mem 146.2MB | 519.7 ms/it
[exp27_head8_emb256_bs8_it2000_do0.2] iter 50/2000 | train_now 2.6997 | train_eval 2.6870 | val 2.7119 | gap -0.0249 | lr 3.03e-04 | params 4.77M | host_mem 17.5% | gpu_mem 146.2MB | 512.6 ms/it
[exp27_head8_emb256_bs8_it2000_do0.2] iter 60/2000 | train_now 2.6720 | train_eval 2.6476 | val 2.6647 | gap -0.0171 | lr 3.62e-04 | params 4.77M | host_mem 17.5% | gpu_mem 146.2MB | 510.4 ms/it
[exp27_head8_emb256_bs8_it2000_do0.2] iter 70/2000 | train_now 2.6355 | train_eval 2.6420 | val 2.6354 | gap 0.0066 | lr 4.22e-04 | params 4.77M | host_mem 17.5% | gpu_mem 146.2MB | 508.7 ms/it
[exp27_head8_emb256_bs8_it2000_do0.2] iter 80/2000 | train_now 2.6382 | train_eval 2.6053 | val 2.6100 | gap -0.0047 | lr 4.81e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 522.8 ms/it
[exp27_head8_emb256_bs8_it2000_do0.2] iter 90/2000 | train_now 2.5792 | train_eval 2.5940 | val 2.5936 | gap 0.0004 | lr 5.41e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 501.2 ms/it
[exp27_head8_emb256_bs8_it2000_do0.2] iter 100/2000 | train_now 2.5428 | train_eval 2.5629 | val 2.5782 | gap -0.0153 | lr 6.00e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 509.7 ms/it
[exp27_head8_emb256_bs8_it2000_do0.2] iter 110/2000 | train_now 2.5858 | train_eval 2.5661 | val 2.5586 | gap 0.0075 | lr 6.00e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 501.6 ms/it
[exp27_head8_emb256_bs8_it2000_do0.2] iter 120/2000 | train_now 2.5734 | train_eval 2.5465 | val 2.5444 | gap 0.0021 | lr 6.00e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 521.6 ms/it
[exp27_head8_emb256_bs8_it2000_do0.2] iter 130/2000 | train_now 2.5349 | train_eval 2.5377 | val 2.5619 | gap -0.0242 | lr 6.00e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 502.1 ms/it
[exp27_head8_emb256_bs8_it2000_do0.2] iter 140/2000 | train_now 2.5644 | train_eval 2.5411 | val 2.5613 | gap -0.0202 | lr 5.99e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 480.6 ms/it
