[exp28_head8_emb256_bs16_it1000_do0.1] iter 0/1000 | train_now 4.2315 | train_eval 4.1702 | val 4.1726 | gap -0.0024 | lr 5.94e-06 | params 4.77M | host_mem 17.6% | gpu_mem 146.3MB | 677.1 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 10/1000 | train_now 3.3975 | train_eval 3.4032 | val 3.4244 | gap -0.0212 | lr 6.53e-05 | params 4.77M | host_mem 17.6% | gpu_mem 146.3MB | 932.8 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 20/1000 | train_now 3.0853 | train_eval 3.0548 | val 3.0743 | gap -0.0195 | lr 1.25e-04 | params 4.77M | host_mem 17.7% | gpu_mem 146.3MB | 937.5 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 30/1000 | train_now 2.8618 | train_eval 2.8420 | val 2.8625 | gap -0.0205 | lr 1.84e-04 | params 4.77M | host_mem 17.7% | gpu_mem 146.3MB | 941.2 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 40/1000 | train_now 2.7767 | train_eval 2.7163 | val 2.7348 | gap -0.0184 | lr 2.44e-04 | params 4.77M | host_mem 17.7% | gpu_mem 146.3MB | 911.8 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 50/1000 | train_now 2.6417 | train_eval 2.6654 | val 2.6477 | gap 0.0177 | lr 3.03e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.3MB | 915.5 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 60/1000 | train_now 2.6553 | train_eval 2.6175 | val 2.6026 | gap 0.0149 | lr 3.62e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.3MB | 917.0 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 70/1000 | train_now 2.6184 | train_eval 2.5643 | val 2.5902 | gap -0.0259 | lr 4.22e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.3MB | 924.8 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 80/1000 | train_now 2.5783 | train_eval 2.5581 | val 2.5579 | gap 0.0002 | lr 4.81e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.3MB | 912.7 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 90/1000 | train_now 2.5898 | train_eval 2.5558 | val 2.5476 | gap 0.0082 | lr 5.41e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.3MB | 910.5 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 100/1000 | train_now 2.5394 | train_eval 2.5295 | val 2.5412 | gap -0.0117 | lr 6.00e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.3MB | 918.8 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 110/1000 | train_now 2.5298 | train_eval 2.5183 | val 2.5220 | gap -0.0037 | lr 6.00e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.3MB | 916.2 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 120/1000 | train_now 2.5434 | train_eval 2.4987 | val 2.5016 | gap -0.0028 | lr 5.99e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.3MB | 915.3 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 130/1000 | train_now 2.5441 | train_eval 2.4870 | val 2.4932 | gap -0.0062 | lr 5.98e-04 | params 4.77M | host_mem 17.5% | gpu_mem 146.3MB | 924.8 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 140/1000 | train_now 2.4936 | train_eval 2.4703 | val 2.4916 | gap -0.0212 | lr 5.97e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.3MB | 933.3 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 150/1000 | train_now 2.4351 | train_eval 2.4781 | val 2.4655 | gap 0.0126 | lr 5.95e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 954.9 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 160/1000 | train_now 2.4802 | train_eval 2.4743 | val 2.4596 | gap 0.0147 | lr 5.93e-04 | params 4.77M | host_mem 17.7% | gpu_mem 146.3MB | 960.6 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 170/1000 | train_now 2.4338 | train_eval 2.4527 | val 2.4722 | gap -0.0194 | lr 5.91e-04 | params 4.77M | host_mem 17.7% | gpu_mem 146.3MB | 937.2 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 180/1000 | train_now 2.5153 | train_eval 2.4488 | val 2.4686 | gap -0.0198 | lr 5.88e-04 | params 4.77M | host_mem 17.7% | gpu_mem 146.3MB | 899.2 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 190/1000 | train_now 2.4528 | train_eval 2.4264 | val 2.4433 | gap -0.0169 | lr 5.85e-04 | params 4.77M | host_mem 17.7% | gpu_mem 146.3MB | 902.6 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 200/1000 | train_now 2.4630 | train_eval 2.4295 | val 2.4399 | gap -0.0104 | lr 5.82e-04 | params 4.77M | host_mem 17.7% | gpu_mem 146.3MB | 931.5 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 210/1000 | train_now 2.4864 | train_eval 2.4491 | val 2.4783 | gap -0.0292 | lr 5.78e-04 | params 4.77M | host_mem 17.7% | gpu_mem 146.3MB | 936.2 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 220/1000 | train_now 2.4818 | train_eval 2.4236 | val 2.4386 | gap -0.0150 | lr 5.74e-04 | params 4.77M | host_mem 17.7% | gpu_mem 146.3MB | 904.8 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 230/1000 | train_now 2.4059 | train_eval 2.4100 | val 2.4301 | gap -0.0201 | lr 5.70e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 933.2 ms/it
