[exp29_head8_emb256_bs16_it1000_do0.2] iter 0/1000 | train_now 4.2213 | train_eval 4.1721 | val 4.1744 | gap -0.0024 | lr 5.94e-06 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 682.7 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 10/1000 | train_now 3.4278 | train_eval 3.4255 | val 3.4486 | gap -0.0231 | lr 6.53e-05 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 922.6 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 20/1000 | train_now 3.1410 | train_eval 3.0979 | val 3.1180 | gap -0.0201 | lr 1.25e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 940.9 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 30/1000 | train_now 2.8989 | train_eval 2.8664 | val 2.8968 | gap -0.0305 | lr 1.84e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 928.0 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 40/1000 | train_now 2.8116 | train_eval 2.7358 | val 2.7510 | gap -0.0152 | lr 2.44e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 903.2 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 50/1000 | train_now 2.6649 | train_eval 2.6768 | val 2.6602 | gap 0.0166 | lr 3.03e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 912.9 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 60/1000 | train_now 2.6850 | train_eval 2.6236 | val 2.6092 | gap 0.0144 | lr 3.62e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 908.3 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 70/1000 | train_now 2.6299 | train_eval 2.5718 | val 2.5999 | gap -0.0281 | lr 4.22e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 912.4 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 80/1000 | train_now 2.5868 | train_eval 2.5631 | val 2.5594 | gap 0.0037 | lr 4.81e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 912.7 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 90/1000 | train_now 2.6041 | train_eval 2.5654 | val 2.5542 | gap 0.0112 | lr 5.41e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 912.3 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 100/1000 | train_now 2.5559 | train_eval 2.5372 | val 2.5460 | gap -0.0088 | lr 6.00e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 922.0 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 110/1000 | train_now 2.5425 | train_eval 2.5396 | val 2.5381 | gap 0.0016 | lr 6.00e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 929.9 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 120/1000 | train_now 2.5535 | train_eval 2.5098 | val 2.5069 | gap 0.0029 | lr 5.99e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 922.6 ms/it
