[exp30_head8_emb256_bs16_it2000_do0.1] iter 0/2000 | train_now 4.2315 | train_eval 4.1702 | val 4.1726 | gap -0.0024 | lr 5.94e-06 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 651.7 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 10/2000 | train_now 3.3975 | train_eval 3.4032 | val 3.4244 | gap -0.0212 | lr 6.53e-05 | params 4.77M | host_mem 17.7% | gpu_mem 146.3MB | 902.0 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 20/2000 | train_now 3.0853 | train_eval 3.0548 | val 3.0743 | gap -0.0195 | lr 1.25e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.3MB | 912.3 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 30/2000 | train_now 2.8618 | train_eval 2.8420 | val 2.8625 | gap -0.0205 | lr 1.84e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 922.7 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 40/2000 | train_now 2.7767 | train_eval 2.7163 | val 2.7348 | gap -0.0184 | lr 2.44e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 946.6 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 50/2000 | train_now 2.6417 | train_eval 2.6654 | val 2.6477 | gap 0.0177 | lr 3.03e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 952.1 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 60/2000 | train_now 2.6553 | train_eval 2.6175 | val 2.6026 | gap 0.0149 | lr 3.62e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 985.2 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 70/2000 | train_now 2.6184 | train_eval 2.5643 | val 2.5902 | gap -0.0259 | lr 4.22e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 951.3 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 80/2000 | train_now 2.5783 | train_eval 2.5581 | val 2.5579 | gap 0.0002 | lr 4.81e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 950.1 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 90/2000 | train_now 2.5898 | train_eval 2.5558 | val 2.5476 | gap 0.0082 | lr 5.41e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 935.6 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 100/2000 | train_now 2.5394 | train_eval 2.5295 | val 2.5412 | gap -0.0117 | lr 6.00e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 920.7 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 110/2000 | train_now 2.5298 | train_eval 2.5183 | val 2.5220 | gap -0.0037 | lr 6.00e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 921.7 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 120/2000 | train_now 2.5432 | train_eval 2.4988 | val 2.5016 | gap -0.0029 | lr 6.00e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 924.9 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 130/2000 | train_now 2.5441 | train_eval 2.4871 | val 2.4933 | gap -0.0063 | lr 6.00e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 923.1 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 140/2000 | train_now 2.4936 | train_eval 2.4704 | val 2.4917 | gap -0.0214 | lr 5.99e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 921.7 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 150/2000 | train_now 2.4351 | train_eval 2.4785 | val 2.4659 | gap 0.0125 | lr 5.99e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 941.7 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 160/2000 | train_now 2.4805 | train_eval 2.4743 | val 2.4597 | gap 0.0146 | lr 5.99e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 923.3 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 170/2000 | train_now 2.4343 | train_eval 2.4533 | val 2.4726 | gap -0.0192 | lr 5.98e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 938.3 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 180/2000 | train_now 2.5159 | train_eval 2.4496 | val 2.4695 | gap -0.0199 | lr 5.97e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 921.8 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 190/2000 | train_now 2.4532 | train_eval 2.4272 | val 2.4439 | gap -0.0166 | lr 5.97e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 934.4 ms/it
