[exp31_head8_emb256_bs16_it2000_do0.2] iter 0/2000 | train_now 4.2213 | train_eval 4.1721 | val 4.1744 | gap -0.0024 | lr 5.94e-06 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 670.5 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 10/2000 | train_now 3.4278 | train_eval 3.4255 | val 3.4486 | gap -0.0231 | lr 6.53e-05 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 904.4 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 20/2000 | train_now 3.1410 | train_eval 3.0979 | val 3.1180 | gap -0.0201 | lr 1.25e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 908.3 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 30/2000 | train_now 2.8989 | train_eval 2.8664 | val 2.8968 | gap -0.0305 | lr 1.84e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 907.6 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 40/2000 | train_now 2.8116 | train_eval 2.7358 | val 2.7510 | gap -0.0152 | lr 2.44e-04 | params 4.77M | host_mem 17.7% | gpu_mem 146.3MB | 924.2 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 50/2000 | train_now 2.6649 | train_eval 2.6768 | val 2.6602 | gap 0.0166 | lr 3.03e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 937.8 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 60/2000 | train_now 2.6850 | train_eval 2.6236 | val 2.6092 | gap 0.0144 | lr 3.62e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 950.4 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 70/2000 | train_now 2.6299 | train_eval 2.5718 | val 2.5999 | gap -0.0281 | lr 4.22e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 933.8 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 80/2000 | train_now 2.5868 | train_eval 2.5631 | val 2.5594 | gap 0.0037 | lr 4.81e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 911.8 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 90/2000 | train_now 2.6041 | train_eval 2.5654 | val 2.5542 | gap 0.0112 | lr 5.41e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 912.6 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 100/2000 | train_now 2.5559 | train_eval 2.5372 | val 2.5460 | gap -0.0088 | lr 6.00e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 914.1 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 110/2000 | train_now 2.5427 | train_eval 2.5397 | val 2.5381 | gap 0.0016 | lr 6.00e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 917.1 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 120/2000 | train_now 2.5535 | train_eval 2.5099 | val 2.5069 | gap 0.0030 | lr 6.00e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 921.7 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 130/2000 | train_now 2.5680 | train_eval 2.4964 | val 2.5008 | gap -0.0044 | lr 6.00e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 984.9 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 140/2000 | train_now 2.5238 | train_eval 2.4790 | val 2.4966 | gap -0.0176 | lr 5.99e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 913.3 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 150/2000 | train_now 2.4586 | train_eval 2.5001 | val 2.4818 | gap 0.0182 | lr 5.99e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 922.1 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 160/2000 | train_now 2.4995 | train_eval 2.4888 | val 2.4682 | gap 0.0206 | lr 5.99e-04 | params 4.77M | host_mem 17.5% | gpu_mem 146.3MB | 924.2 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 170/2000 | train_now 2.4481 | train_eval 2.4713 | val 2.4845 | gap -0.0132 | lr 5.98e-04 | params 4.77M | host_mem 17.5% | gpu_mem 146.3MB | 926.9 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 180/2000 | train_now 2.5398 | train_eval 2.4667 | val 2.4803 | gap -0.0137 | lr 5.97e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.3MB | 925.0 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 190/2000 | train_now 2.4842 | train_eval 2.4456 | val 2.4662 | gap -0.0206 | lr 5.97e-04 | params 4.77M | host_mem 17.7% | gpu_mem 146.3MB | 918.7 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 200/2000 | train_now 2.5058 | train_eval 2.4508 | val 2.4589 | gap -0.0081 | lr 5.96e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 958.5 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 210/2000 | train_now 2.5061 | train_eval 2.4719 | val 2.4984 | gap -0.0265 | lr 5.95e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 941.5 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 220/2000 | train_now 2.5019 | train_eval 2.4466 | val 2.4559 | gap -0.0093 | lr 5.94e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 908.8 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 230/2000 | train_now 2.4438 | train_eval 2.4275 | val 2.4468 | gap -0.0193 | lr 5.93e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 935.7 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 240/2000 | train_now 2.4121 | train_eval 2.4244 | val 2.4344 | gap -0.0099 | lr 5.92e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 934.2 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 250/2000 | train_now 2.4362 | train_eval 2.4201 | val 2.4273 | gap -0.0072 | lr 5.91e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 936.0 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 260/2000 | train_now 2.4842 | train_eval 2.4187 | val 2.4330 | gap -0.0144 | lr 5.90e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 937.3 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 270/2000 | train_now 2.3837 | train_eval 2.4003 | val 2.4195 | gap -0.0192 | lr 5.88e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 920.2 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 280/2000 | train_now 2.4202 | train_eval 2.3949 | val 2.4337 | gap -0.0388 | lr 5.87e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 935.9 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 290/2000 | train_now 2.4108 | train_eval 2.4007 | val 2.4203 | gap -0.0195 | lr 5.85e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 913.7 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 300/2000 | train_now 2.3555 | train_eval 2.3632 | val 2.4002 | gap -0.0370 | lr 5.84e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 913.0 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 310/2000 | train_now 2.4061 | train_eval 2.3746 | val 2.3864 | gap -0.0118 | lr 5.82e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 952.1 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 320/2000 | train_now 2.3868 | train_eval 2.3543 | val 2.3746 | gap -0.0203 | lr 5.80e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 968.6 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 330/2000 | train_now 2.4189 | train_eval 2.3374 | val 2.3619 | gap -0.0245 | lr 5.79e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 960.4 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 340/2000 | train_now 2.3739 | train_eval 2.3457 | val 2.3579 | gap -0.0123 | lr 5.77e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 968.5 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 350/2000 | train_now 2.4146 | train_eval 2.3164 | val 2.3607 | gap -0.0443 | lr 5.75e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 931.1 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 360/2000 | train_now 2.3703 | train_eval 2.3190 | val 2.3528 | gap -0.0338 | lr 5.73e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 905.0 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 370/2000 | train_now 2.3454 | train_eval 2.3129 | val 2.3540 | gap -0.0411 | lr 5.71e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 929.4 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 380/2000 | train_now 2.2849 | train_eval 2.2900 | val 2.3239 | gap -0.0339 | lr 5.68e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 906.2 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 390/2000 | train_now 2.4713 | train_eval 2.3042 | val 2.3040 | gap 0.0002 | lr 5.66e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 927.1 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 400/2000 | train_now 2.3445 | train_eval 2.2672 | val 2.3009 | gap -0.0337 | lr 5.64e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 929.5 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 410/2000 | train_now 2.3012 | train_eval 2.2664 | val 2.2962 | gap -0.0298 | lr 5.61e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 927.1 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 420/2000 | train_now 2.3202 | train_eval 2.2653 | val 2.2890 | gap -0.0238 | lr 5.59e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 929.3 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 430/2000 | train_now 2.3546 | train_eval 2.2481 | val 2.2979 | gap -0.0498 | lr 5.56e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 925.6 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 440/2000 | train_now 2.3293 | train_eval 2.2478 | val 2.2956 | gap -0.0478 | lr 5.54e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 900.8 ms/it
[exp31_head8_emb256_bs16_it2000_do0.2] iter 450/2000 | train_now 2.2678 | train_eval 2.2528 | val 2.2780 | gap -0.0253 | lr 5.51e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 907.5 ms/it
